Here are the requested CSV tables:
```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"First Vision Financial,"Inc."","n/a","2016","n/a","Ordinary Common Stock","1333473","n/a","4547286"
"First Vision Financial,"Inc."","n/a","2016","n/a","Class Common Stock","249170","n/a","4547286"
"First Vision Financial,"Inc."","n/a","2016","n/a","Class Common Stock","175397","n/a","4547286"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"First Vision Financial,"Inc."","Outside Director","Clark,"Coyle O"","Partner","Clark,"Knies","& Crenshaw","PLLC"","2016","Certified Public Accountant","4547286"
"First Vision Financial,"Inc."","Outside Director","Daniel,"William Dennis"","Owner","Delta Properties","2016","Family Practitioner","4547286"
"First Vision Financial,"Inc."","Secretary","Eckert,"Roy Neal"","Secretary/CCO/VP","n/a","2016","Banker","4547286"
"First Vision Financial,"Inc."","Outside Director","Hatchett,"Kenneth Nelson"","Owner","Hatchett Insurance Agency","2016","Owner-Insurance Agency","4547286"
"First Vision Financial,"Inc."","Outside Director","Hatchett,"Kenneth Nelson"","Partner","NLKM Heritage LLP","2016","Owner-Insurance Agency","4547286"
"First Vision Financial,"Inc."","Outside Director","Hatchett,"Kenneth Nelson"","Partner","Eagle Bluff Estates","2016","Owner-Insurance Agency","4547286"
"First Vision Financial,"Inc."","Outside Director","Keele,"Jeffrey W."","Partner","All Creatures Veterinary","2016","Veterinarian","4547286"
"First Vision Financial,"Inc."","Chief Financial Officer","Ledford,"Denise"","Chief Financial Officer","n/a","2016","Accountant","4547286"
"First Vision Financial,"Inc."","Outside Director","Niederhauser,"Mike"","Partner","C&N Rental","2016","Real Estate Investor","4547286"
"First Vision Financial,"Inc."","Chairman","Penland,"James J."","Chairman","Penland-Vaughn Properties","2016","Banker","4547286"
"First Vision Financial,"Inc."","Outside Director","Roberts,"John R."","President/Owner","Roberts Automotive Group","2016","Auto Dealer","4547286"
"First Vision Financial,"Inc."","Outside Director","Roberts,"John R."","Partner","Celebration Realty Group","2016","Auto Dealer","4547286"
"First Vision Financial,"Inc."","Outside Director","Roberts,"John R."","Partner","Exit Realty","2016","Auto Dealer","4547286"
"First Vision Financial,"Inc."","Outside Director","Roberts,"John R."","Partner","RWG Realty","2016","Auto Dealer","4547286"
"First Vision Financial,"Inc."","Outside Director","Rose,"Tina M."","Owner","T. Michelle's Clothiers","2016","Retail Manager","4547286"
"First Vision Financial,"Inc."","President and CEO","Rowland,"Robert M."","President and CEO","n/a","2016","Banker","4547286"
"First Vision Financial,"Inc."","Outside Director","Vaughn,"Gregory A."","Owner","Robertson-Vaughn Construction","2016","Construction Manager","4547286"
"First Vision Financial,"Inc."","Outside Director","Vaughn,"Gregory A."","Partner","Washington Park Development","2016","Construction Manager","4547286"
"First Vision Financial,"Inc."","Outside Director","Vaughn,"Gregory A."","Partner","Martin-Vaughn","2016","Construction Manager","4547286"
"First Vision Financial,"Inc."","Outside Director","Vaughn,"Gregory A."","Partner","WPD/Collier-Norris","2016","Construction Manager","4547286"
"First Vision Financial,"Inc."","Outside Director","Vaughn,"Gregory A."","Partner","Penland-Vaughn Properties","2016","Construction Manager","4547286"
"First Vision Financial,"Inc."","Outside Director","Vaughn,"Gregory A."","Partner","Round Cove Partners","2016","Construction Manager","4547286"
```
