```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Atlantic Capital Bancshares,"Inc."","Baltimore,"Maryland"","2020","T. Rowe Price Associates,"Inc."","Common Stock","2893573","13.9%","n/a"
"Atlantic Capital Bancshares,"Inc."","New York,"New York"","2020","BlackRock,"Inc."","Common Stock","1431792","6.9%","n/a"
"Atlantic Capital Bancshares,"Inc."","Malvern,"Pennsylvania"","2020","The Vanguard Group","Common Stock","1137226","5.5%","n/a"
"Atlantic Capital Bancshares,"Inc."","Austin,"Texas"","2020","Dimensional Fund Advisors LP","Common Stock","1122512","5.4%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Atlantic Capital Bancshares,"Inc."","Director,"President & Chief Executive Officer"","Douglas L. Williams","n/a","n/a","2020","n/a","n/a"
"Atlantic Capital Bancshares,"Inc."","Director,"President & Chief Executive Officer"","Patrick T. Oakes","n/a","n/a","2020","n/a","n/a"
"Atlantic Capital Bancshares,"Inc."","Chief Financial Officer","Richard A. Oglesby,"Jr."","n/a","n/a","2020","n/a","n/a"
"Atlantic Capital Bancshares,"Inc."","Executive Vice President - General Banking Division","Walter M. Deriso,"Jr."","Director & Chairman","Porter Springs Ltd","2020","n/a","n/a"
"Atlantic Capital Bancshares,"Inc."","Executive Vice President - General Banking Division","Walter M. Deriso,"Jr."","Director & Chairman","PSL-GY,"LLC"","2020","n/a","n/a"
"Atlantic Capital Bancshares,"Inc."","Director","Henchy R. Enden","n/a","n/a","2020","Investment Management","n/a"
"Atlantic Capital Bancshares,"Inc."","Director","James H. Graves","Equity Analyst","Erwin,"Graves & Jones","LP"","2020","Management Consulting","n/a"
"Atlantic Capital Bancshares,"Inc."","Director","James H. Graves","Equity Analyst","Erwin,"Graves & Associates","LP"","2020","Management Consulting","n/a"
"Atlantic Capital Bancshares,"Inc."","Director","James H. Graves","Equity Analyst","Erwin,"Graves & Associates 1","LLC"","2020","Management Consulting","n/a"
"Atlantic Capital Bancshares,"Inc."","Director","James H. Graves","Equity Analyst","Graves Holdings,"LP"","2020","Management Consulting","n/a"
"Atlantic Capital Bancshares,"Inc."","Director","James H. Graves","Equity Analyst","Graves Holdings 1,"LLC"","2020","Management Consulting","n/a"
"Atlantic Capital Bancshares,"Inc."","Director","James H. Graves","Equity Analyst","J&J Prairie Oaks Ranch 1,"LP"","2020","Management Consulting","n/a"
"Atlantic Capital Bancshares,"Inc."","Director","James H. Graves","Equity Analyst","J&J Prairie Oaks Ranch,"LLC"","2020","Management Consulting","n/a"
"Atlantic Capital Bancshares,"Inc."","Director","Douglas J. Hertz","President & Chief Executive Officer","United Distributors,"Inc."","2020","Beverage Distribution","n/a"
"Atlantic Capital Bancshares,"Inc."","Director","Lizanne Thomas","Partner-in-Charge of the Southeastern Region","Jones Day","2020","Attorney","n/a"
"Atlantic Capital Bancshares,"Inc."","Director","Mariette Edmunds Zakas","Executive Vice President & Chief Financial Officer","Mueller Water Products,"Inc."","2020","Corporate Management","n/a"
"Atlantic Capital Bancshares,"Inc."","Director","Shantella E Cooper","Executive Director","Atlanta Committee for Progress","2020","Corporate Management","n/a"
"Atlantic Capital Bancshares,"Inc."","Director","Thomas M. Holder","Chief Executive Officer & Chairman","Holder Construction Group,"LLC"","2020","Construction Management","n/a"
"Atlantic Capital Bancshares,"Inc."","Director","David H. Eidson","President & Chief Executive Officer","Coxe Curry & Associates","2020","Corporate Management","n/a"
"Atlantic Capital Bancshares,"Inc."","Executive Vice President & Chief Credit Officer","Robert Bugbee","n/a","n/a","2020","n/a","n/a"
"Atlantic Capital Bancshares,"Inc."","Executive Vice President - Corporate Financial Services Division","Kurt Shreiner","n/a","n/a","2020","n/a","n/a"
"Atlantic Capital Bancshares,"Inc."","Executive Vice President & Chief Risk Officer","Gray Fleming","n/a","n/a","2020","n/a","n/a"
"Atlantic Capital Bancshares,"Inc."","Executive Vice President & Chief Human Resources Officer","Annette Rollins","n/a","n/a","2020","n/a","n/a"
```
