```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership"
"BBVA Compass Bancshares,"Inc."","SPAIN","2014","Banco Bilbao Vizcaya Argentaria,"S.A."","Common Stock","222950751","100.00%"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year"
"BBVA Compass Bancshares,"Inc."","Chairman of the Board,"President","and Chief Executive Officer"","Manuel Sanchez Rodriguez","Chairman of the Board,"President","and Chief Executive Officer"","Compass Bank","2014"
"BBVA Compass Bancshares,"Inc."","Vice Chairman of the Board","William Holms","Vice Chairman of the Board","Compass Bank","2014"
"BBVA Compass Bancshares,"Inc."","Director","Raul Santoro de Mattos Almeida","n/a","BBVA Bancomer (Mexico)","2014"
"BBVA Compass Bancshares,"Inc."","Director","Charles E. McMahen","Owner","2S Ranch Sole Proprietorship","2014"
"BBVA Compass Bancshares,"Inc."","Director","J. Terry Strange","Retired,"Former Vice Chairman","KPMG"","New Jersey Resources Corporation","2014"
"BBVA Compass Bancshares,"Inc."","Director","Eduardo Aguirre,"Jr."","Chairman and CEO","Atlantic Partners Group,"LLC"","2014"
"BBVA Compass Bancshares,"Inc."","Director","Fernando Gutierrez Junquera","Advisor to the Chairman and CEO,"BBVA Group"","BBVA Bancomer (Mexico)","2014"
"BBVA Compass Bancshares,"Inc."","Director","Glen E. Roney","Trustee","Scott & White Healthcare","2014"
"BBVA Compass Bancshares,"Inc."","Director","Max Mario Yzaguirre","President","The Yzaguirre Group,"LLC"","2014"
"BBVA Compass Bancshares,"Inc."","Director","Shelaghmichael Brown","Director","Weingarten Realty","2014"
"BBVA Compass Bancshares,"Inc."","Senior Executive Vice President. Chief Operating Officer","Rafael Bustillo","n/a","n/a","2014"
"BBVA Compass Bancshares,"Inc."","Senior Executive Vice President,"General Counsel and Secretary"","B. Shane Clanton","n/a","n/a","2014"
"BBVA Compass Bancshares,"Inc."","Senior Executive Vice President,"Chief Digital Bank Officer"","Jeff Dennes","n/a","n/a","2014"
"BBVA Compass Bancshares,"Inc."","Senior Executive Vice President,"Chief Information Officer"","Gabriel Sanchez Iniesta","n/a","n/a","2014"
"BBVA Compass Bancshares,"Inc."","Senior Executive Vice President,"Chief Risk Officer"","Javier Hernandez","n/a","n/a","2014"
"BBVA Compass Bancshares,"Inc."","Senior Executive Vice President,"Chief Human Resources Executive"","James C. Heslop","n/a","n/a","2014"
"BBVA Compass Bancshares,"Inc."","Senior Executive Vice President,"Chief Financial Officer"","Angel Reglero","n/a","n/a","2014"
"BBVA Compass Bancshares,"Inc."","Executive Vice President,"Chief Audit Executive"","Adrian Garrido","n/a","n/a","2014"
"BBVA Compass Bancshares,"Inc."","Co-Head of U.S. Corporate & Investment Banking and Head of Global Markets","Juan Pablo Jimeno Moreno","n/a","n/a","2014"
"BBVA Compass Bancshares,"Inc."","Co-Head of U.S. Corporate & Investment Banking and Head of U.S. Global Clients","David Powell","n/a","n/a","2014"
"BBVA Compass Bancshares,"Inc."","n/a","Lee Vardaman","Retired","n/a","2014"
```
