Here are the two requested CSV tables:
```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership"
"CapStar Financial Holdings,"Inc"","New York","2016","Corsair III Financial Services Capital Partners,"L.P"","Common Stock","532752","4.32%"
"CapStar Financial Holdings,"Inc"","New York","2016","Corsair III Financial Services Capital Partners,"L.P"","Preferred Stock","878049","7.12%"
"CapStar Financial Holdings,"Inc"","New York","2016","Corsair III Financial Services Capital Partners,"L.P"","Warrants","250000","2.03%"
"CapStar Financial Holdings,"Inc"","Nashville","2016","GSD Family Investments,"LLC"","Common Stock","614222","5.46%"
"CapStar Financial Holdings,"Inc"","Nashville","2016","GSD Family Investments,"LLC"","Warrants","42175","0.37%"
"CapStar Financial Holdings,"Inc"","New York","2016","North Dakota Investors,"LLC"","Preferred Stock","250000","2.59%"
"CapStar Financial Holdings,"Inc"","New York","2016","North Dakota Investors,"LLC"","Preferred Stock","731707","7.57%"
"CapStar Financial Holdings,"Inc"","New York","2016","North Dakota Investors,"LLC"","Warrants","250000","2.59%"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year"
"CapStar Financial Holdings,"Inc"","n/a","Corsair III Financial Services Capital Partners,"L.P"","n/a","n/a","2016"
"CapStar Financial Holdings,"Inc"","Director","Toby S. Wilt","Director","CapStar Bank","2016"
"CapStar Financial Holdings,"Inc"","Director","Thomas Flynn","Director","CapStar Bank","2016"
"CapStar Financial Holdings,"Inc"","Director","James S. Turner,"Jr."","Director","CapStar Bank","2016"
"CapStar Financial Holdings,"Inc"","President","Claire W. Tucker","Vice Chair of the Board","CapStar Bank","2016"
"CapStar Financial Holdings,"Inc"","Director","Julie D. Frist","n/a","n/a","2016"
"CapStar Financial Holdings,"Inc"","Chairman of the Board","Dennis C. Bottorff","Chairman of the Board","CapStar Bank","2016"
"CapStar Financial Holdings,"Inc"","Director","L. Earl Bentz","President","CapStar Bank","2016"
"CapStar Financial Holdings,"Inc"","Director","Louis A. Green,"III"","Director","CapStar Bank","2016"
"CapStar Financial Holdings,"Inc"","Chief Financial Officer","Robert B. Anderson","Chief Financial Officer","CapStar Bank","2016"
"CapStar Financial Holdings,"Inc"","Director","Stephen B. Smith","Director","CapStar Bank","2016"
"CapStar Financial Holdings,"Inc"","Director","Dale W. Polley","Director","CapStar Bank","2016"
"CapStar Financial Holdings,"Inc"","Director","Richard E. Thornburgh","Director","CapStar Bank","2016"
```
