Here are the two requested CSV tables:
```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership"
"Andrew Johnson Bancshares,"Inc."","Greeneville","2022","Brandon Hull","Common Stock","124372","33.57%"
"Andrew Johnson Bancshares,"Inc."","Knoxville","2022","Leslie Hull","Common Stock","55524","14.98%"
"Andrew Johnson Bancshares,"Inc."","Greeneville","2022","Christopher Marsh","Common Stock","31305","8.45%"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year"
"Andrew Johnson Bancshares,"Inc."","Director","Joel Hice","Director","Business Development-Hamblen Cty","2022"
"Andrew Johnson Bancshares,"Inc."","Director","James W. Hickerson,"Sr."","Director","Business Development-Greene Cty","2022"
"Andrew Johnson Bancshares,"Inc."","President/CEO & Director","Paige Hull","President/CEO & Director","Partner Caroline Grace,"LLC"","2022"
"Andrew Johnson Bancshares,"Inc."","Director","Christopher Marsh","Director","President-Interstate Petroleum Company","2022"
"Andrew Johnson Bancshares,"Inc."","Director","Mark R. Williams","Director","Broker-Century 21","2022"
"Andrew Johnson Bancshares,"Inc."","Director","Leslie Hull","Director","Partner First Community L.P.","2022"
"Andrew Johnson Bancshares,"Inc."","Principal shareholder","Brandon Hull","n/a","President-Greeneville Federal Bank","2022"
"Andrew Johnson Bancshares,"Inc."","Director","Denise Terry","Director","President-The Terry Law Firm","2022"
"Andrew Johnson Bancshares,"Inc."","EVP/CFO","Randy J. Sizemore","EVP/CFO","n/a","2022"
```
