```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership"
"Centerstate Bank Corporation","Valley Forge","2018","Vanguard Group Inc.","Common Stock","7988942","8.35%"
"Centerstate Bank Corporation","New York","2018","Black Rock,"Inc."","Common Stock","6591107","6.89%"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year"
"Centerstate Bank Corporation","Board Chairman & Director","Ernest S. Pinner","Director and Chairman","Polk State College","2018"
"Centerstate Bank Corporation","Director","James H. Bingham","Director","Bingham Realty,"Inc."","2018"
"Centerstate Bank Corporation","Director","Michael J. Brown,"Sr."","Director","n/a","2018"
"Centerstate Bank Corporation","Director","C. Dennis Carlton","Director","Mid-State Realty Co.,"Inc."","2018"
"Centerstate Bank Corporation","Director","William Knox Pou,"Jr."","Director","W.S. Badcock Home Furnishings and More","2018"
"Centerstate Bank Corporation","Director","Joshua A. Snively","Director","Florida Chemical Company,"Inc."","2018"
"Centerstate Bank Corporation","EVP,"CFO"","Jennifer Idell","CFO","n/a","2018"
"Centerstate Bank Corporation","Director","Griffin A. Greene","Director","Greene's Citrus Management,"Inc."","2018"
"Centerstate Bank Corporation","Director","Charles W. McPherson","Director","n/a","2018"
"Centerstate Bank Corporation","President,"Chief Executive Officer & Director"","John Corbett","CEO and Director","n/a","2018"
"Centerstate Bank Corporation","Director","Thomas E. Oakley","Director","Oakley Groves","2018"
"Centerstate Bank Corporation","Director","G. Tierso Nunez II","Director","GT Nunez & Associates,"P.A."","2018"
"Centerstate Bank Corporation","EVP,"COO"","Stephen D. Young","Executive Vice President and Chief Operating Officer","n/a","2018"
"Centerstate Bank Corporation","Chief Credit Officer","Daniel E. Bockhorst","Executive Vice President Chief Risk Officer","n/a","2018"
"Centerstate Bank Corporation","Bank President","Mark W. Thompson","President","n/a","2018"
"Centerstate Bank Corporation","Director","Michael F. Ciferri","Director","multiple diversified family businesses","2018"
"Centerstate Bank Corporation","Director","Daniel R. Richey","Director","Riverfront Packing Co.","2018"
"Centerstate Bank Corporation","Director","David Salyers","Director","Retired Sr. Executive","2018"
"Centerstate Bank Corporation","Director","Jody J. Dreyer","Director","Retired Sr. Executive","2018"
```
