Here are the requested CSV tables:
```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership"
"Atlantic Capital Bancshares,"Inc."","Baltimore","2018","T. Rowe Price Associates,"Inc."","Common Stock","3702136","14.1%"
"Atlantic Capital Bancshares,"Inc."","Chicago","2018","RMB Capital Holdings,"LLC"","Common Stock","2042358","7.82%"
"Atlantic Capital Bancshares,"Inc."","New York","2018","BlackRock,"Inc."","Common Stock","1459311","5.6%"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year"
"Atlantic Capital Bancshares,"Inc."","Director & Chief Executive Officer","Douglas L. Williams","Director & Chief Executive Officer","Atlantic Capital Bank","2018"
"Atlantic Capital Bancshares,"Inc."","Chief Financial Officer","Patrick T. Oakes","Chief Financial Officer","Atlantic Capital Bank","2018"
"Atlantic Capital Bancshares,"Inc."","Executive Vice President - General Banking Division","Richard A. Oglesby,"Jr."","Executive Vice President - General Banking Division","Atlantic Capital Bank","2018"
"Atlantic Capital Bancshares,"Inc."","Director & Chairman","Walter M. Deriso,"Jr."","Director & Chairman","Atlantic Capital Bank","2018"
"Atlantic Capital Bancshares,"Inc."","Director","Henchy R. Enden","Equity Analyst","MFP Investors","2018"
"Atlantic Capital Bancshares,"Inc."","Director","James H. Graves","Managing Director & Partner","Erwin,"Graves & Associates","LP"","2018"
"Atlantic Capital Bancshares,"Inc."","Director","Douglas J. Hertz","President & Chief Executive Officer","United Distributors,"Inc."","2018"
"Atlantic Capital Bancshares,"Inc."","Director","Larry D. Mauldin","Director","Mauldin Properties,"LLC"","2018"
"Atlantic Capital Bancshares,"Inc."","Director","R. Charles Shufeldt","Director","Brown Brothers Harriman & Company","2018"
"Atlantic Capital Bancshares,"Inc."","Director","Lizanne Thomas","Partner-in-Charge of the Southern Region","Jones Day","2018"
"Atlantic Capital Bancshares,"Inc."","n/a","Mariette Edmunds Zakas","n/a","Mueller Water Products,"Inc."","2018"
"Atlantic Capital Bancshares,"Inc."","Executive Vice President & Chief Credit Officer","Robert Bugbee","Executive Vice President & Chief Credit Officer","Atlantic Capital Bank","2018"
"Atlantic Capital Bancshares,"Inc."","Executive Vice President - Corporate Financial Services Division","Kurt Shreiner","Executive Vice President - Corporate Financial Services Division","Atlantic Capital Bank","2018"
"Atlantic Capital Bancshares,"Inc."","Executive Vice President & Chief Risk Officer","Gary Fleming","Executive Vice President & Chief Risk Officer","Atlantic Capital Bank","2018"
"Atlantic Capital Bancshares,"Inc."","Executive Vice President & Chief Human Resources Officer","Annette Rollins","Executive Vice President & Chief Human Resources Officer","Atlantic Capital Bank","2018"
"Atlantic Capital Bancshares,"Inc."","n/a","T. Rowe Price Associates,"Inc."","n/a","n/a","2018"
"Atlantic Capital Bancshares,"Inc."","n/a","RMB Capital Holdings,"LLC"","n/a","n/a","2018"
"Atlantic Capital Bancshares,"Inc."","n/a","BlackRock,"Inc."","n/a","n/a","2018"
```
