```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Noble Bancshares","Inc","President","Aaron Acker","Director,"Treasurer"","Acker Electric Company","2021","President","n/a"
"Noble Bancshares","Inc","Director,"Treasurer"","Aaron Acker","President","Acker Electric Company","2021","President","n/a"
"Noble Bancshares","Inc","President","Greg Brown","Director,"Secretary"","B R Williams Trucking,"Inc"","2021","President","n/a"
"Noble Bancshares","Inc","Director,"Secretary"","Greg Brown","President","B R Williams Trucking,"Inc"","2021","President","n/a"
"Noble Bancshares","Inc","Chairman Emeritus","William R Smith","n/a","n/a","2021","None-retired","n/a"
"Noble Bancshares","Inc","Director","Kenneth L Vandervo","Doctor/partner","Anniston Orthopedics Assoc,"PA"","2021","Doctor/partner","n/a"
"Noble Bancshares","Inc","Doctor/partner","Kenneth L Vandervo","Director","Anniston Orthopedics Assoc,"PA"","2021","Doctor/partner","n/a"
"Noble Bancshares","Inc","Director","Phil Webb","Owner","Webb Concrete & Bldg Materials","2021","Owner","n/a"
"Noble Bancshares","Inc","Owner","Phil Webb","Director","Webb Concrete & Bldg Materials","2021","Owner","n/a"
"Noble Bancshares","Inc","President","Patricia M King","Director","Sunny King Automotive Group","2021","President","n/a"
"Noble Bancshares","Inc","Director","Patricia M King","President","Sunny King Automotive Group","2021","President","n/a"
"Noble Bancshares","Inc","Owner","Mike Lipscomb","Director","Lipscomb Auto Sales","2021","Owner","n/a"
"Noble Bancshares","Inc","Director","Mike Lipscomb","Owner","Lipscomb Auto Sales","2021","Owner","n/a"
"Noble Bancshares","Inc","Chairman","Anthony Humphrie","n/a","n/a","2021","Chairman","n/a"
"Noble Bancshares","Inc","President / CEO","Keith McCullough","n/a","n/a","2021","President / CEO","n/a"
"Noble Bancshares","Inc","SEVP/CFO","Kerry R Holt","n/a","n/a","2021","n/a","n/a"
"Noble Bancshares","Inc","EVP/Chief Risk Officer","Lynda Dyar","n/a","n/a","2021","n/a","n/a"
"Noble Bancshares","Inc","SEVP/COO","Paul Z Rogers","n/a","n/a","2021","n/a","n/a"
```
