```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership"
"Business First Bancshares,"Inc."","Baton Rouge","2014","There were no shareholders of record that owned (directly or indirectly),"controlled","or held the power to vote 5 percent or more of voting shares of Business First Bancshares","Inc. at 12/31/14."","n/a","n/a","n/a"
"Business First Bancshares,"Inc."","Baton Rouge","2014","There were no shareholders that owned or controlled 5 percent or more of voting shares of Business First Bancshares,"Inc. during 2014."","n/a","n/a","n/a"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year"
"Business First Bank","Director","Lloyd Alford","Director","Benny's Car Wash","2014"
"Business First Bank","Executive Vice President & CFO","Steven Champney","None","n/a","2014"
"Business First Bank","Director","John Graves","Director","Evans-Graves Engineers,"Inc."","2014"
"Business First Bank","Director (Chairman)","Robert Greer","Director - Starmount Life Director/Chairman Elect - Woman's Hospital","n/a","2014"
"Business First Bank","SVP,"Chief Risk Officer"","Sonya Jarvis","None","n/a","2014"
"Business First Bank","Executive Vice President","Paula J. Laird","None","n/a","2014"
"Business First Bank","Director","Rolfe H. McCollister,"Jr"","CEO","Louisiana Business,"Inc."","2014"
"Business First Bank","Director","Andrew D. McLindon","Director","Mainspring Companies,"LLC"","2014"
"Business First Bank","President,"CEO and Director"","David Melville","Member","Gulf South Capital Partners","2014"
"Business First Bank","Director","Patrick E. Mockler","President","Mockler Beverage Co.","2014"
"Business First Bank","Director","Eric Montgomery","Partner","Brothers Ventures,"LLC"","2014"
"Business First Bank","Director","Nanette Noland","CEO","The Powell Group,"LLC"","2014"
"Business First Bank","Director","Arthur Price","Director","KIT Exploration,"Inc."","2014"
"Business First Bank","Director","Fayez K. Shamieh,"MD"","President","Fayes K. Shemieh Medical Corporation","2014"
"Business First Bank","Director","Stewart Slack","Partner","Slack Alost Development","2014"
"Business First Bank","Director","Kenneth Smith","President / CEO/Owner","T. Baker Smith,"LLC"","2014"
"Business First Bank","Director","Thomas Everett Stewart","None","n/a","2014"
"Business First Bank","Director","Steve White","Managing Partner","ROBCO Fossil Fuels","2014"
"Business First Bank","Director","Robert Yarborough","CEO","Manda Packing Co.,"LLC"","2014"
```
