Here are the two requested tables in CSV format:
```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership"
"Catalyst Bancorp,"Inc."","Opelousas","2022","Catalyst Bancorp,"Inc. Employee Stock Ownership Plan"","Common Stock","422260","8%"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year"
"Catalyst Bancorp,"Inc."","Chairman of the Board of Directors","Todd A. Kidder","Chairman of the Board of Directors","Catalyst Bank","2022"
"Catalyst Bancorp,"Inc."","Director","Ted D. Bellard","Director","Catalyst Bank","2022"
"Catalyst Bancorp,"Inc."","Director","Kirk E. Kleiser","Director","Catalyst Bank","2022"
"Catalyst Bancorp,"Inc."","Director","Frederick L. Lafleur","Director","Catalyst Bank","2022"
"Catalyst Bancorp,"Inc."","Director","Craig C. LeBouef","Director","Catalyst Bank","2022"
"Catalyst Bancorp,"Inc."","Director","Matthew I. Scruggins","Director","Catalyst Bank","2022"
"Catalyst Bancorp,"Inc."","Director,"President & CEO"","Joseph B. Zanco","Director,"President & CEO"","Catalyst Bank","2022"
"Catalyst Bancorp,"Inc."","Chief Financial Officer","Jacques Bourque","Vice President & Chief Financial Officer","Catalyst Bank","2022"
"Catalyst Bancorp,"Inc."","n/a","Simone S. Perry","Senior Vice President & Chief Credit Officer","Catalyst Bank","2022"
"Catalyst Bancorp,"Inc."","n/a","Amanda B. Quebedeaux","Senior Vice President & Director of Operations","Catalyst Bank","2022"
```
