Here are the requested tables in CSV format:
```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership"
"CedarStone Financial,"Inc."","Lebanon","2020","Jacqueline W. Cowden","n/a","n/a","6.7%"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year"
"CedarStone Financial,"Inc."","Director/Chairman","Kevin D. Bay","President","Bay's Southern Bread","2020"
"CedarStone Financial,"Inc."","Director","Jacqueline W. Cowden","Partner","Chana,"LLC"","2020"
"CedarStone Financial,"Inc."","Director/President/CEO","Robert L. McDonald Sr.","n/a","n/a","2020"
"CedarStone Financial,"Inc."","Director","Donald E. Moser","n/a","n/a","2020"
"CedarStone Financial,"Inc."","Director","Bancroft O'Quinn,"Jr."","Owner","Bancroft O'Quinn,"MD"","2020"
"CedarStone Financial,"Inc."","Director","Paul B. Vantrease,"Jr."","Partner","Dempsey,"Vantrease & Follis","PLLC"","2020"
"CedarStone Financial,"Inc."","Director","Victor K. Nixon","President/Owner","Savik,"LLC"","2020"
"CedarStone Financial,"Inc."","Director","Michael A. Moscardelli","Partner","615 Real Property,"LP"","2020"
"CedarStone Financial,"Inc."","EVP & CFO","Kenneth K. Mattox","n/a","n/a","2020"
"CedarStone Financial,"Inc."","EVP & Operations Manager","Tina M. Winfree","n/a","n/a","2020"
```
