Here are the two CSV tables extracted from the document:
```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"First Vision Financial","","2018","n/a","Ordinary Common Stock","1330023","n/a","4547286"
"First Vision Financial","","2018","n/a","Class Common Stock","231070","n/a","4547286"
"First Vision Financial","","2018","n/a","Class Common Stock","163372","n/a","4547286"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"First Vision Financial,"Inc."","Outside Director","Clark,"Coyle O"","Partner","Clark,"Knles","& Crenshaw","PLLC"","2018","Certified Public Accountant","4547286"
"First Vision Financial,"Inc."","Outside Director","Daniel,"William Dennis"","Owner","Delta Propertles","2018","Family Practitioner","4547286"
"First Vision Financial,"Inc."","Secretary,"Secretary/CCO/VP"","Eckert,"Roy Neal"","n/a","n/a","2018","Banker","4547286"
"First Vision Financial,"Inc."","Outside Director","Hatchett,"Kenneth Nelson"","Owner","Hatchett Insurance Agency","2018","Owner-Insurance Agency","4547286"
"First Vision Financial,"Inc."","Outside Director","Hatchett,"Kenneth Nelson"","Partner","NLKM Heritage LLP","2018","Owner-Insurance Agency","4547286"
"First Vision Financial,"Inc."","Outside Director","Hatchett,"Kenneth Nelson"","Partner","Eagle Bluff Estates","2018","Owner-Insurance Agency","4547286"
"First Vision Financial,"Inc."","Outside Director","Keele,"Jeffrey W."","Partner","All Creatures Veterinary","2018","Veterinarian","4547286"
"First Vision Financial,"Inc."","Chief Financial Officer","Ledford,"Denise"","n/a","n/a","2018","Accountant","4547286"
"First Vision Financial,"Inc."","Outside Director","Niederhauser,"Mike"","Partner","C&N Rental","2018","Real Estate Investor","4547286"
"First Vision Financial,"Inc."","Chairman","Penland,"James J."","Partner","Penland-Vaughn Propertles","2018","Banker","4547286"
"First Vision Financial,"Inc."","Outside Director","Roberts,"John R."","President/Owner","Roberts Automotive Group","2018","Auto Dealer","4547286"
"First Vision Financial,"Inc."","Outside Director","Roberts,"John R."","Partner","Celebration Realty Group","2018","Auto Dealer","4547286"
"First Vision Financial,"Inc."","Outside Director","Roberts,"John R."","Partner","Exit Realty","2018","Auto Dealer","4547286"
"First Vision Financial,"Inc."","Outside Director","Roberts,"John R."","Partner","RWG Realty","2018","Auto Dealer","4547286"
"First Vision Financial,"Inc."","Outside Director","Rose,"Tina M."","Owner","T. Michelle's Clothiers","2018","Retall Manager","4547286"
"First Vision Financial,"Inc."","President and CEO","Rowland,"Robert M."","n/a","n/a","2018","Banker","4547286"
"First Vision Financial,"Inc."","Outside Director","Vaughn,"Gregory A."","Owner","Robertson-Vaughn Construction","2018","Construction Manager","4547286"
"First Vision Financial,"Inc."","Outside Director","Vaughn,"Gregory A."","Partner","Washington Park Development","2018","Construction Manager","4547286"
"First Vision Financial,"Inc."","Outside Director","Vaughn,"Gregory A."","Partner","Martin-Vaughn","2018","Construction Manager","4547286"
"First Vision Financial,"Inc."","Outside Director","Vaughn,"Gregory A."","Partner","WPD/Collier-Norris","2018","Construction Manager","4547286"
"First Vision Financial,"Inc."","Outside Director","Vaughn,"Gregory A."","Partner","Penland-Vaughn Properties","2018","Construction Manager","4547286"
"First Vision Financial,"Inc."","Outside Director","Vaughn,"Gregory A."","Partner","Round Cove Partners","2018","Construction Manager","4547286"
```
