```text
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Investar Holding Corporation","St. Louis,"MO"","2021","Fourthstone LLC","Common Stock","806964","7.8%","n/a"
"Investar Holding Corporation","Chicago,"IL"","2021","The Banc Funds Company,"L.L.C."","Common Stock","565199","5.5%","n/a"
"Investar Holding Corporation","New York,"NY"","2021","Maltese Capital Management LLC","Common Stock","491000","4.7%","n/a"
"Investar Holding Corporation","New York,"NY"","2021","BlackRock,"Inc."","Common Stock","117505","1.1%","n/a"
"Investar Holding Corporation","Arlington,"VA"","2021","EJF Capital LLC","Common Stock","0","0.0%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Investar Holding Corporation","Director","James M. Baker","n/a","n/a","2021","Vice President - Structural TOPCOR,"LLC"","n/a"
"Investar Holding Corporation","Director","Thomas C. Besselman,"Sr."","Director","n/a","2021","Licensed Health,"Life and Accident Insurance Professional"","n/a"
"Investar Holding Corporation","Director","James H. Boyce,"III"","Director","n/a","2021","Business Owner - Consumer Loan Company and Commercial Real Estate Developer","n/a"
"Investar Holding Corporation","Director","Robert Boyce,"Sr."","Director","n/a","2021","Retired","n/a"
"Investar Holding Corporation","President and Chief Executive Officer,"Director"","John J. D'Angelo","n/a","n/a","2021","n/a","n/a"
"Investar Holding Corporation","Chairman of the Board,"Director"","William H. Hidalgo","n/a","n/a","2021","Marine Consulting Engineer - Managing member & Owner of Halimar Shipvard. LLC","n/a"
"Investar Holding Corporation","Director","Gordon H. Joffrion,"III"","Director","n/a","2021","General Manager of Joffrion Construction Co.","n/a"
"Investar Holding Corporation","Director","Robert Chris Jordan","Director","n/a","2021","Managing Member of Vermillion Business Group","n/a"
"Investar Holding Corporation","Director","David J. Lukinovich","President","David J. Lukinovich,"APLC"","2021","Board Certified Tax & Estate Planning and Administration Attorney","n/a"
"Investar Holding Corporation","Director","Suzanne O. Middleton","n/a","n/a","2021","Chief Financial Officer of Credit One,"LLC"","n/a"
"Investar Holding Corporation","Director","Andrew C. Nelson M.D.","Partner","Texas Digestive Disease Consultants","2021","Board Certified Gastroenterologist","n/a"
"Investar Holding Corporation","Director","Frank L. Walker","n/a","n/a","2021","Chief Financial Officer","n/a"
"Investar Holding Corporation","Executive Vice President and Chief Operations Officer","Linda M. Crochet","n/a","n/a","2021","JP Oil Holdings,"LLC"","n/a"
"Investar Holding Corporation","Executive Vice President and Chief Financial Officer","Christopher L. Hufft","n/a","n/a","2021","n/a","n/a"
"Investar Holding Corporation","Executive Vice President,"Chief Credit Office"","Jeffrey W. Martin","n/a","n/a","2021","n/a","n/a"
```
