Here are the two tables in CSV format as requested:
```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Seacoast Banking Corporation of Florida","New York,"NY"","2023","Black Rock,"Inc."","n/a","12349790","14.6%","n/a"
"Seacoast Banking Corporation of Florida","Malvern,"PA"","2023","The Vanguard Group","n/a","6030200","7.1%","n/a"
"Seacoast Banking Corporation of Florida","Boston,"MA"","2023","Wellington Management Group LLP","n/a","4551911","5.4%","n/a"
"Seacoast Banking Corporation of Florida","Los Angeles,"CA"","2023","Capital World Investors","n/a","-","0%","n/a"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Seacoast Banking Corporation of Florida","Director","Dennis J. Arczynski","Principal","Dennis Arczynski and Company,"LLC"","2023","Risk management and banking consultant"
"Seacoast Banking Corporation of Florida","Director","Jacqueline L. Bradley","Member","Orange County Tourist Development Council","2023","Board Member of Tampa Electric"
"Seacoast Banking Corporation of Florida","Director","Jacqueline L. Bradley","Director","Boys & Girls Club of Central Florida","2023","Board Member of Tampa Electric"
"Seacoast Banking Corporation of Florida","Director","Jacqueline L. Bradley","board member","Studio Museum in Harlem","2023","Board Member of Tampa Electric"
"Seacoast Banking Corporation of Florida","Director","Jacqueline L. Bradley","Board member","The Lawrenceville School","2023","Board Member of Tampa Electric"
"Seacoast Banking Corporation of Florida","Director","H. Gilbert Culbreth,"Jr."","President and CEO","Gilbert Chevrolet Co. Inc.","2023","President,"CEO and owner of Gilbert Chevrolet""
"Seacoast Banking Corporation of Florida","Director","H. Gilbert Culbreth,"Jr."","President","Gil's Auto Center,"Inc."","2023","President,"CEO and owner of Gilbert Chevrolet""
"Seacoast Banking Corporation of Florida","Director","H. Gilbert Culbreth,"Jr."","n/a","Gilbert Culbreth Investments,"Inc."","2023","President,"CEO and owner of Gilbert Chevrolet""
"Seacoast Banking Corporation of Florida","Director","H. Gilbert Culbreth,"Jr."","n/a","Culbreth Realty,"Inc."","2023","President,"CEO and owner of Gilbert Chevrolet""
"Seacoast Banking Corporation of Florida","Director","H. Gilbert Culbreth,"Jr."","n/a","216 Realty,"LLC"","2023","President,"CEO and owner of Gilbert Chevrolet""
"Seacoast Banking Corporation of Florida","Director","H. Gilbert Culbreth,"Jr."","n/a","Parrott Investments,"Inc."","2023","President,"CEO and owner of Gilbert Chevrolet""
"Seacoast Banking Corporation of Florida","Director","H. Gilbert Culbreth,"Jr."","n/a","Gilbert Aviation,"Inc."","2023","President,"CEO and owner of Gilbert Chevrolet""
"Seacoast Banking Corporation of Florida","Director","H. Gilbert Culbreth,"Jr."","n/a","Gilbert Oil Company,"Inc."","2023","President,"CEO and owner of Gilbert Chevrolet""
"Seacoast Banking Corporation of Florida","Director","H. Gilbert Culbreth,"Jr."","n/a","Parrott,"Inc."","2023","President,"CEO and owner of Gilbert Chevrolet""
"Seacoast Banking Corporation of Florida","Director","H. Gilbert Culbreth,"Jr."","n/a","Gilbert Trucking,"Inc."","2023","President,"CEO and owner of Gilbert Chevrolet""
"Seacoast Banking Corporation of Florida","Director","H. Gilbert Culbreth,"Jr."","n/a","Gilbert Transports,"LLC"","2023","President,"CEO and owner of Gilbert Chevrolet""
"Seacoast Banking Corporation of Florida","Director","H. Gilbert Culbreth,"Jr."","n/a","Gilbert Cattle Co. LLC","2023","President,"CEO and owner of Gilbert Chevrolet""
"Seacoast Banking Corporation of Florida","Director","H. Gilbert Culbreth,"Jr."","n/a","Gilbert Experience LLC","2023","President,"CEO and owner of Gilbert Chevrolet""
"Seacoast Banking Corporation of Florida","Director","H. Gilbert Culbreth,"Jr."","n/a","GTAC Reinsurance LTD","2023","President,"CEO and owner of Gilbert Chevrolet""
"Seacoast Banking Corporation of Florida","Director","H. Gilbert Culbreth,"Jr."","n/a","Culbreth Holdings,"LLC"","2023","President,"CEO and owner of Gilbert Chevrolet""
"Seacoast Banking Corporation of Florida","Director","H. Gilbert Culbreth,"Jr."","n/a","3550 Realty LLC","2023","President,"CEO and owner of Gilbert Chevrolet""
"Seacoast Banking Corporation of Florida","Director","H. Gilbert Culbreth,"Jr."","n/a","303 Realty,"LLC"","2023","President,"CEO and owner of Gilbert Chevrolet""
"Seacoast Banking Corporation of Florida","Director","H. Gilbert Culbreth,"Jr."","n/a","Grace Marine LLC","2023","President,"CEO and owner of Gilbert Chevrolet""
"Seacoast Banking Corporation of Florida","Director","H. Gilbert Culbreth,"Jr."","n/a","GC Automotive,"LLC"","2023","President,"CEO and owner of Gilbert Chevrolet""
"Seacoast Banking Corporation of Florida","Director","H. Gilbert Culbreth,"Jr."","n/a","Gilbert Ford,"LLC"","2023","President,"CEO and owner of Gilbert Chevrolet""
"Seacoast Banking Corporation of Florida","Director","Julie H. Daum","Senior director","Spencer Stuart","2023","Senior director of Spencer Stuart"
"Seacoast Banking Corporation of Florida","Director","Christopher E. Fogal","Certified public accountant","Enchanted Wind SRL","2023","Certified Public Accountant"
"Seacoast Banking Corporation of Florida","Director","Christopher E. Fogal","n/a","Dimamafo LLC","2023","Certified Public Accountant"
