"Okay","I understand. Here are the two CSV tables extracted from the provided document","formatted as requested:"
```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership"
"Auburn National Bancorporation,"Inc."","Auburn","2014","E.L. Spencer,"Jr."","n/a","735219","20.18%"
"Auburn National Bancorporation,"Inc."","Auburn","2014","Emil F. Wright,"Jr."","n/a","397878","10.92%"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year"
"Auburn National Bancorporation,"Inc."","Vice Chairman","Robert Dumas","President,"CEO & Director of AuburnBank"","East Alabama Mecdical Center","2014"
"Auburn National Bancorporation,"Inc."","n/a","Terrell Bishop","SVP of AuburnBank","n/a","2014"
"Auburn National Bancorporation,"Inc."","n/a","Jo Ann Hall","EVP of AuburnBank","n/a","2014"
"Auburn National Bancorporation,"Inc."","SVP,"Controller & CFO"","David Hedges","SVP of Auburnbank","n/a","2014"
"Auburn National Bancorporation,"Inc."","n/a","Kris W. Blackmon","VP & Chief Investment Officer AuburnBank","n/a","2014"
"Auburn National Bancorporation,"Inc."","n/a","Gene Dulaney","SVP of AuburnBank","n/a","2014"
"Auburn National Bancorporation,"Inc."","n/a","W. Thomas Johnson","SVP of AuburnBank","n/a","2014"
"Auburn National Bancorporation,"Inc."","n/a","Marla L. Kickliter","SVP of Complainc/Internal Audit AuburnBank","n/a","2014"
"Auburn National Bancorporation,"Inc."","n/a","Shannon S. O'Donnell","SVP of Credit Administration AuburnBank","n/a","2014"
"Auburn National Bancorporation,"Inc."","n/a","Jerome B. Siegel","SVP & Chief Technology Officer AuburnBank","n/a","2014"
"Auburn National Bancorporation,"Inc."","Chairman,"Director of AuburnBank"","E.L. Spencer,"Jr."","Owner,"Director of AuburnBank"","Spencer Heating & Air","2014"
"Auburn National Bancorporation,"Inc."","n/a","C. Eddie Smith","SVP of AuburnBank","Downtown Garden,"LLC"","2014"
"Auburn National Bancorporation,"Inc."","n/a","Robert Smith","SVP of AuburnBank","n/a","2014"
"Auburn National Bancorporation,"Inc."","Director","William F. Ham,"Jr."","Director of AuburnBank","Varsity Enterprises","2014"
"Auburn National Bancorporation,"Inc."","Director","Edward L. Spencer,"III"","Director of AuburnBank","Spencer,"LLC"","2014"
"Auburn National Bancorporation,"Inc."","Secretary and Treasurer","C. Wayne Alderman","Director of AuburnBank","IntraMicron,"Inc."","2014"
"Auburn National Bancorporation,"Inc."","Director","J. Tutt Barrett","Director of AuburnBank","Barrett,"Satterwhite","and Hood","LLC"","2014"
"Auburn National Bancorporation,"Inc."","Director","J.E. Evans","Director of AuburnBank","Evans Realty,"Inc."","2014"
"Auburn National Bancorporation,"Inc."","Assistant Secretary and Assistant Treasurer","Anne May","Director of AuburnBank","Machen,"McChesney & Chastain","LLP"","2014"
"Auburn National Bancorporation,"Inc."","Director of Auburn","Terry W. Andrus","Director of AuburnBank","CEO of East AL Medical Center","2014"
"Auburn National Bancorporation,"Inc."","Director of Auburn","David E. Housel","Director of AuburnBank","n/a","2014"
"Auburn National Bancorporation,"Inc."","n/a","Emil F. Wright","n/a","n/a","2014"
```
