Here are the requested CSV tables:
```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Sevier County Bancshares","Fort Lauderdale,"FL"","2020","Kenneth Lehman","Common Stock - Class A","1663598","40.20%","n/a"
"Sevier County Bancshares","Sevierville,"TN"","2020","Summitt Family","Common Stock – Class A","326228","7.88%","n/a"
"Sevier County Bancshares","Blakely,"GA"","2020","Spence Limited","Common Stock – Class A","728715","17.61%","n/a"
"Sevier County Bancshares","Chicago,"IL"","2020","BancFunds VIII,"LP"","Common Stock – Class A","55000","5.26%","n/a"
"Sevier County Bancshares","Chicago,"IL"","2020","BancFunds IX,"LP"","Common Stock – Class A","162675","5.26%","n/a"
```
```csv
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Sevier County Bancshares","Senior Corporate Secretary","Cindy Latham","n/a","n/a","2020","Executive Asst."
"Sevier County Bancshares","Director,"President","CEO & CFO"","Bobby R. Stoffle","n/a","n/a","2020","Banker"
"Sevier County Bancshares","Director","Lyle Overbay","Partner","Overbay Family Partnership","2020","Retired Insurance Agent"
"Sevier County Bancshares","Director & Principal Shareholder","Joe Jim Summitt","Partner","S & K Partnership","2020","Banker"
"Sevier County Bancshares","Director & Principal Shareholder","Joe Jim Summitt","Partner","Summitt Family Investments & Summitt Family Farm","2020","Banker"
"Sevier County Bancshares","Director & Principal Shareholder","Joe Jim Summitt","Shareholder","Summitt Corp Sevier County - Engineer","2020","Banker"
"Sevier County Bancshares","Director","James Temple Jr.","n/a","James A Temple Sr. FLP","2020","Engineer"
"Sevier County Bancshares","Director","James Temple Jr.","n/a","John E. Temple Trust","2020","Engineer"
"Sevier County Bancshares","Shareholder","Kenneth Lehman","n/a","n/a","2020","Attorney/Bank Investor"
"Sevier County Bancshares","Director","Maria Mize Roditis","Partner","MMR Properties LLC","2020","Investor"
"Sevier County Bancshares","Director","Conley T. Murrell","Partner / Manager","Murrell Investments LLC","2020","Real Estate Development"
"Sevier County Bancshares","Director","Conley T. Murrell","Partner / Manager","Murrell Investment GP","2020","Real Estate Development"
"Sevier County Bancshares","Director","Conley T. Murrell","Partner / Manager","Murrell Properties GP","2020","Real Estate Development"
"Sevier County Bancshares","Director","Conley T. Murrell","Partner / Manager","Murrell Properties LLC","2020","Real Estate Development"
"Sevier County Bancshares","Lead Director","Gary R. Wade","Partner/Owner","Riverdale Apartments","2020","TN Supreme Court Chief Justice - retired"
"Sevier County Bancshares","Lead Director","Gary R. Wade","Partner/Owner","Kelco,"Ltd."","2020","TN Supreme Court Chief Justice - retired"
"Sevier County Bancshares","Lead Director","Gary R. Wade","Partner/Owner","Parkgrove,"L.P."","2020","TN Supreme Court Chief Justice - retired"
"Sevier County Bancshares","Lead Director","Gary R. Wade","Partner/Owner","Applecat,"L.P."","2020","TN Supreme Court Chief Justice - retired"
"Sevier County Bancshares","Lead Director","Gary R. Wade","Partner/Owner","Panapple,"L.P."","2020","TN Supreme Court Chief Justice - retired"
"Sevier County Bancshares","Lead Director","Gary R. Wade","Partner/Owner","Roosevelt Lodge","2020","TN Supreme Court Chief Justice - retired"
"Sevier County Bancshares","Lead Director","Gary R. Wade","Partner/Owner","Greenbrier Investments,"LLC"","2020","TN Supreme Court Chief Justice - retired"
"Sevier County Bancshares","Lead Director","Gary R. Wade","Partner/Owner","Greenbrier Campground","2020","TN Supreme Court Chief Justice - retired"
"Sevier County Bancshares","Lead Director","Gary R. Wade","Partner/Owner","GJM","2020","TN Supreme Court Chief Justice - retired"
"Sevier County Bancshares","Lead Director","Gary R. Wade","Partner/Owner","TWRS","2020","TN Supreme Court Chief Justice - retired"
"Sevier County Bancshares","Director","Svend Brooks","President / Owner/Partner","Matisse Capital,"LLC"","2020","Real Estate Development & Management"
"Sevier County Bancshares","Director","Svend Brooks","President / Owner/Partner","WG Holdings TN,"LLC"","2020","Real Estate Development & Management"
"Sevier County Bancshares","Director","Doug Blalock","Partner/Owner/Corporate Secretary","Charles Blalock & Sons,"Inc."","2020","Engineer"
"Sevier County Bancshares","Director","Doug Blalock","Partner/Owner/Corporate Secretary","Blalock Lumber Co.","2020","Engineer"
"Sevier County Bancshares","Director","Doug Blalock","Partner/Owner/Corporate Secretary","Bluff Mountain Realty","2020","Engineer"
"Sevier County Bancshares","Director","Doug Blalock","Partner/Owner/Corporate Secretary","Newport Paving Co.","2020","Engineer"
"Sevier County Bancshares","Director & Principal Shareholder","Hope Lundt","Managing Partner","Spence Limited LP","2020","CFA/Bank Investor"
"Sevier County Bancshares","Director & Principal Shareholder","Hope Lundt","Managing Member","Willard Mills Advisory LLC","2020","CFA/Bank Investor"
"Sevier County Bancshares","Director & Principal Shareholder","Hope Lundt","Managing Member","JH Property Investments LLC","2020","CFA/Bank Investor"
"Sevier County Bancshares","Executive Chairman","John M. Presley","Board of Directors","Heritage Southeast Bancorporation","2020","CPA/Bank Executive"
"Sevier County Bancshares","Executive Chairman","John M. Presley","Managing Director","Transact Capital Partners","2020","CPA/Bank Executive"
```
