```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","Percentage of Voting Shares","RSSD_ID","Percentage of Voting Shares in Subsidiaries"
"Dairyland Bank Holding Corporation","President & Director","William Bosshard","Director/President","Bosshard Financial Group,"Inc."","2023","Banker","98.13%","n/a","None"
"Dairyland Bank Holding Corporation","President & Director","William Bosshard","Director/President","Mauston Bancorp,"Inc."","2023","Banker","98.13%","n/a","None"
"Dairyland Bank Holding Corporation","President & Director","William Bosshard","Director/President","Clayton Bankshares Inc.","2023","Banker","98.13%","n/a","None"
"Dairyland Bank Holding Corporation","President & Director","William Bosshard","Director/VP-Legal/Professional Advisor","Clayton Bankshares Inc.","2023","Banker","98.13%","n/a","None"
"Dairyland Bank Holding Corporation","President & Director","William Bosshard","Director/President/Treasurer","Bosshard Banco,"Ltd"","2023","Banker","98.13%","n/a","None"
"Dairyland Bank Holding Corporation","President & Director","William Bosshard","Director/Vice President","Citizens State Bank of La Crosse","2023","Banker","98.13%","n/a","None"
"Dairyland Bank Holding Corporation","President & Director","William Bosshard","Director/President","Farmers State Bank of Hillsboro","2023","Banker","98.13%","n/a","None"
"Dairyland Bank Holding Corporation","President & Director","William Bosshard","Director/President","First National Bank of Bangor","2023","Banker","98.13%","n/a","None"
"Dairyland Bank Holding Corporation","President & Director","William Bosshard","Director/Vice President","Intercity State Bank","2023","Banker","98.13%","n/a","None"
"Dairyland Bank Holding Corporation","President & Director","William Bosshard","Director","Bank of Mauston","2023","Banker","98.13%","n/a","None"
"Dairyland Bank Holding Corporation","President & Director","William Bosshard","President/Director","Central Insurance Services,"Inc."","2023","Banker","98.13%","n/a","None"
"Dairyland Bank Holding Corporation","President & Director","William Bosshard","Director/President","Heartland Title,"Inc."","2023","Banker","98.13%","n/a","None"
"Dairyland Bank Holding Corporation","President & Director","William Bosshard","Director/President","BF Solutions,"Inc."","2023","Banker","98.13%","n/a","None"
"Dairyland Bank Holding Corporation","President & Director","William Bosshard","Director/President","Bosshard Holding Inc.","2023","Banker","98.13%","n/a","None"
"Dairyland Bank Holding Corporation","President & Director","William Bosshard","Director/President","Spartek,"Inc."","2023","Banker","98.13%","n/a","None"
"Dairyland Bank Holding Corporation","President & Director","William Bosshard","Partner","Lacy Associates,"LLP"","2023","Banker","98.13%","n/a","None"
"Dairyland Bank Holding Corporation","President & Director","William Bosshard","Partner","Southdale Hills Association,"LLP"","2023","Banker","98.13%","n/a","None"
"Dairyland Bank Holding Corporation","President & Director","William Bosshard","Partner","Bosshard Bogs,"LLP"","2023","Banker","98.13%","n/a","None"
"Dairyland Bank Holding Corporation","President & Director","William Bosshard","Partner","Bosshard Investments,"LLP"","2023","Banker","98.13%","n/a","None"
"Dairyland Bank Holding Corporation","President & Director","William Bosshard","Member","JWB,"LLC"","2023","Banker","98.13%","n/a","None"
"Dairyland Bank Holding Corporation","President & Director","William Bosshard","Member","512 Teocalli,"LLC"","2023","Banker","98.13%","n/a","None"
"Dairyland Bank Holding Corporation","President & Director","William Bosshard","Member","Augusta Bar,"LLC"","2023","Banker","98.13%","n/a","None"
"Dairyland Bank Holding Corporation","President & Director","William Bosshard","Member","Forward Alma,"LLC"","2023","Banker","98.13%","n/a","None"
"Dairyland Bank Holding Corporation","President & Director","William Bosshard","Member","William Bosshard,"LLC"","2023","Banker","98.13%","n/a","None"
"Dairyland Bank Holding Corporation","President & Director","William Bosshard","Member","320 Pearl,"LLC"","2023","Banker","98.13%","n/a","None"
"Dairyland Bank Holding Corporation","President & Director","William Bosshard","Member","Spartek Maine Properties,"LLC"","2023","Banker","98.13%","n/a","None"
"Dairyland Bank Holding Corporation","President & Director","William Bosshard","Member","County Road I,"LLC"","2023","Banker","98.13%","n/a","None"
"Dairyland Bank Holding Corporation","President & Director","William Bosshard","Member","County Road J,"LLC"","2023","Banker","98.13%","n/a","None"
"Dairyland Bank Holding Corporation","President & Director","William Bosshard","Director/President","Forward Hillsboro,"LLC"","2023","Banker","98.13%","n/a","None"
"Dairyland Bank Holding Corporation","Secretary Vice-President Director","Andrew Bosshard","Director","One Community Bank","2023","Attorney","0.37%","n/a","None"
"Dairyland Bank Holding Corporation","Secretary Vice-President Director","Andrew Bosshard","Director","Mid-City Steel,"LLC"","2023","Attorney","0.37%","n/a","None"
"Dairyland Bank Holding Corporation","Secretary Vice-President Director","Andrew Bosshard","Vice President","Bosshard Parke,"Ltd."","2023","Attorney","0.37%","n/a","None"
"Dairyland Bank Holding Corporation","Secretary Vice-President Director","Andrew Bosshard","Director","Citizens State Bank","2023","Attorney","0.37%","n/a","None"
"Dairyland Bank Holding Corporation","Secretary Vice-President Director","Andrew Bosshard","Member/Vice-President","320 Pearl,"LLC"","2023","Attorney","0.37%","n/a","None"
"Dairyland Bank Holding Corporation","Secretary Vice-President Director","Andrew Bosshard","Director/Vice-President","District 901,"LLC"","2023","Attorney","0.37%","n/a","None"
"Dairyland Bank Holding Corporation","Secretary Vice-President Director","Andrew Bosshard","Member","ARB Investments,"LLC"","2023","Attorney","0.37%","n/a","None"
"Dairyland Bank Holding Corporation","Secretary Vice-President Director","Andrew Bosshard","Director/Secretary/VP","Bosshard Banco LTD","2023","Attorney","0.37%","n/a","None"
"Dairyland Bank Holding Corporation","Secretary Vice-President Director","Andrew Bosshard","Director/Secretary/VP","Bosshard Financial Group,"Inc."","2023","Attorney","0.37%","n/a","None"
