```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","Percentage of Voting Shares","RSSD_ID","Percentage of Voting Shares in Subsidiaries"
"Centra Ventures,"Inc."","Chairman of Board","Brian Bauerly","Partner","Bauerly Dynamics","2023","Management","17.6%","n/a","n/a"
"Centra Ventures,"Inc."","Chairman of Board","Brian Bauerly","Shareholder","Pond View","2023","Management","17.6%","n/a","n/a"
"Centra Ventures,"Inc."","Chairman of Board","Brian Bauerly","CEO","E Ride Industries","2023","Management","17.6%","n/a","n/a"
"Centra Ventures,"Inc."","Chairman of Board","Brian Bauerly","Shareholder","Park X LLC","2023","Management","17.6%","n/a","n/a"
"Centra Ventures,"Inc."","Chairman of Board","Brian Bauerly","Shareholder","North Fork Inc.","2023","Management","17.6%","n/a","n/a"
"Centra Ventures,"Inc."","Chairman of Board","Brian Bauerly","Partner","R.E.A.","2023","Management","17.6%","n/a","n/a"
"Centra Ventures,"Inc."","Chairman of Board","Brian Bauerly","Partner","Falcon Building,"LLC"","2023","Management","17.6%","n/a","n/a"
"Centra Ventures,"Inc."","Chairman of Board","Brian Bauerly","Partner","St. Joseph Bancshares Acquisitions,"Inc"","2023","Management","17.6%","n/a","n/a"
"Centra Ventures,"Inc."","Chairman of Board","Brian Bauerly","Shareholder","Rum River Bancorporation,"Inc."","2023","Management","17.6%","n/a","n/a"
"Centra Ventures,"Inc."","Chairman of Board","Brian Bauerly","Partner","SHB Investors,"LLC"","2023","Management","17.6%","n/a","n/a"
"Centra Ventures,"Inc."","Chairman of Board","Brian Bauerly","Partner","Hill City Golf LLC","2023","Management","17.6%","n/a","n/a"
"Centra Ventures,"Inc."","N/A","Gerald Bauerly","N/A","N/A","2023","Management","1.3%","n/a","n/a"
"Centra Ventures,"Inc."","CEO/Director","Rollis Anderson","N/A","Anderson Trucking Service,"Inc. & Subs"","2023","Logistics","16.6%","n/a","n/a"
"Centra Ventures,"Inc."","CEO/Director","Rollis Anderson","Director","BSA Worldwide Holdings,"LLC & Subs"","2023","Logistics","16.6%","n/a","n/a"
"Centra Ventures,"Inc."","CEO/Director","Rollis Anderson","Limited Partner","Granite Equity Partners,"LLP"","2023","Logistics","16.6%","n/a","n/a"
"Centra Ventures,"Inc."","CEO/Director","Rollis Anderson","Partner","RSBA Investors,"LLC"","2023","Logistics","16.6%","n/a","n/a"
"Centra Ventures,"Inc."","CEO/Director","Rollis Anderson","Advisory Board","Terral River Barge","2023","Logistics","16.6%","n/a","n/a"
"Centra Ventures,"Inc."","CEO/Director","Rollis Anderson","Partner","Pondview Investors of Sauk Rapids","2023","Logistics","16.6%","n/a","n/a"
"Centra Ventures,"Inc."","CEO/Director","Rollis Anderson","Chair/Director","St. Joseph Bancshares Acquisitions,"Inc."","2023","Logistics","16.6%","n/a","n/a"
"Centra Ventures,"Inc."","CEO/Director","Rollis Anderson","Director","Sentry Bank","2023","Logistics","16.6%","n/a","n/a"
"Centra Ventures,"Inc."","CEO/Director","Rollis Anderson","Director","Sherburne State Bank","2023","Logistics","16.6%","n/a","n/a"
"Centra Ventures,"Inc."","CEO/Director","Rollis Anderson","Director","Granite Equity Partners,"LLP"","2023","Logistics","16.6%","n/a","n/a"
"Centra Ventures,"Inc."","CEO/Director","Rollis Anderson","Lender","Granite Equity Debt Fund","2023","Logistics","16.6%","n/a","n/a"
"Centra Ventures,"Inc."","CEO/Director","Rollis Anderson","Limited Partner","Granite Equity,"LLC"","2023","Logistics","16.6%","n/a","n/a"
"Centra Ventures,"Inc."","CEO/Director","Rollis Anderson","Limited Partner","Granite Debt Fund,"LLC"","2023","Logistics","16.6%","n/a","n/a"
"Centra Ventures,"Inc."","N/A","Rollis Anderson Revocable Trust","N/A","N/A","2023","Logistics","0.2%","n/a","n/a"
"Centra Ventures,"Inc."","N/A","Brent Anderson","N/A","Falcon National Bank (Director)","2023","Logistics","1.0%","n/a","n/a"
"Centra Ventures,"Inc."","N/A","Scott Anderson","N/A","N/A","2023","Logistics","0.9%","n/a","n/a"
"Centra Ventures,"Inc."","Director","Lee Hanson","N/A","Falcon National Bank (Director)","2023","Attorney","9.0%","n/a","n/a"
"Centra Ventures,"Inc."","N/A","Donald Osbome","N/A","N/A","2023","Management","7.0%","n/a","n/a"
"Centra Ventures,"Inc."","N/A","Douglas Osbome","N/A","N/A","2023","Management","7.1%","n/a","n/a"
"Centra Ventures,"Inc."","N/A","Steve Torborg","N/A","Falcon National Bank (Director)","2023","Construction","6.8%","n/a","n/a"
"Centra Ventures,"Inc."","N/A","Torborg Builders","N/A","N/A","2023","Construction","3.6%","n/a","n/a"
"Centra Ventures,"Inc."","Director","John Herges","N/A","Falcon National Bank (CEO/Director)","2023","Financial Services","6.4%","n/a","n/a"
"Centra Ventures,"Inc."","Director","Diane Wojtanowicz","N/A","Falcon National Bank (Director)","2023","Agriculture","5.3%","n/a","n/a"
"Centra Ventures,"Inc."","Director","Mike and Brenda Doty","N/A","Falcon National Bank (Director)","2023","Retired","3.7%","n/a","n/a"
```
