```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"First Financial Bankshares,"Inc."","New York,"New York"","2023","BlackRock,"Inc."","Common Stock","16172949","11.30%","n/a"
"First Financial Bankshares,"Inc."","Malvern,"Pennsylvania"","2023","The Vanguard Group","Common Stock","14465552","10.14%","n/a"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","Percentage of Voting Shares","RSSD_ID","Percentage of Voting Shares in Subsidiaries"
"First Financial Bankshares,"Inc."","Director","April K. Anthony","Director","First Financial Bankshares,"Inc."","2023","Healthcare Executive","0.08%","n/a","n/a"
"First Financial Bankshares,"Inc."","Director","April K. Anthony","n/a","First Financial Bank,"N.A."","2023","Healthcare Executive","n/a","n/a","None"
"First Financial Bankshares,"Inc."","Director","April K. Anthony","n/a","First Technology Services,"Inc."","2023","Healthcare Executive","n/a","n/a","None"
"First Financial Bankshares,"Inc."","n/a","April K. Anthony","Executive Chairman and Director","Homecare Homebase","2023","Healthcare Executive","n/a","n/a","n/a"
"First Financial Bankshares,"Inc."","n/a","April K. Anthony","Director and Chair","Abilene Christian University","2023","Healthcare Executive","n/a","n/a","n/a"
"First Financial Bankshares,"Inc."","n/a","April K. Anthony","Director","Celtic Holdings CB,"LP"","2023","Healthcare Executive","n/a","n/a","n/a"
"First Financial Bankshares,"Inc."","n/a","April K. Anthony","Director","CarePath Rx","2023","Healthcare Executive","n/a","n/a","n/a"
"First Financial Bankshares,"Inc."","n/a","April K. Anthony","Chief Executive Officer","VitalCaring Group","2023","Healthcare Executive","n/a","n/a","n/a"
"First Financial Bankshares,"Inc."","Director","David Bailey","n/a","First Financial Bankshares,"Inc."","2023","Banker","0.02%","n/a","n/a"
"First Financial Bankshares,"Inc."","EVP of Commercial Banking","David Bailey","n/a","First Financial Bank,"N.A."","2023","Banker","n/a","n/a","None"
"First Financial Bankshares,"Inc."","Principal Securities Holder","BlackRock,"Inc"","n/a","n/a","2023","Investment Mangement","11.30%","n/a","n/a"
