Internal Title,Person,External Title,Affiliation,Fiscal Year,Occupation,Bank_y,Stock Class,Number of Shares,Percentage of Ownership,RSSD_ID_y
Chairman/Pres,Jimmy D. Blevins,President/CEO Director Chairman,,2016,,"1st Jackson Bancshares,Inc.",,16285,14.51%,2306993
Director,Shelby Carr,Director,Carr Farm,2016,Farmer,"1st Jackson Bancshares,Inc.",,7548,6.73%,2306993
Director Emeritus,James S. McGinty,,"Dawson,McGinty & Parker",2016,Attorney,"1st Jackson Bancshares,Inc.",,9637,8.59%,2306993
Director/ Vice Chairman,Jim Myers,Director/ Vice Chairman,JimStan,2016,Groceryman,"1st Jackson Bancshares,Inc.",,11891,10.59%,2306993
Director/ Vice Chairman,Jim Myers,Director/ Vice Chairman,Food Star,2016,Groceryman,"1st Jackson Bancshares,Inc.",,11891,10.59%,2306993
Chairman/Pres Director,Jimmy D. Blevins,President Director Chairman,,2017,,"1st Jackson Bancshares,Inc.",,16531,14.73%,
Director,Shelby Carr,Director,Carr Farm,2017,Farmer,"1st Jackson Bancshares,Inc.",,7576,6.75%,
,James S. McGinty,,"Dawson,McGinty & Parker",2017,Attorney,"1st Jackson Bancshares,Inc.",,9637,8.59%,
Director/ Vice Chairman,Jim Myers,Director/ Vice Chairman,JimStan,2017,Groceryman,"1st Jackson Bancshares,Inc.",,11891,10.59%,
Director/ Vice Chairman,Jim Myers,Director/ Vice Chairman,Food Star,2017,Groceryman,"1st Jackson Bancshares,Inc.",,11891,10.59%,
Director,Shelby Carr,Director,Carr Farm,2019,Farmer,"1st Jackson Bancshares,Inc.",,7576,6.75%,
Director/ Vice Chairman,Jim Myers,Director/ Vice Chairman,JimStan,2019,Groceryman,"1st Jackson Bancshares,Inc.",,11891,10.59%,
Director/ Vice Chairman,Jim Myers,Director/ Vice Chairman,Food Star,2019,Groceryman,"1st Jackson Bancshares,Inc.",,11891,10.59%,
Director/ Secretary,Pam M. Parker,Director/ Secretary,"Dawson,McGinty & Parker firm",2019,Attorney,"1st Jackson Bancshares,Inc.",,6887,6.14%,
,Jami McGinty Kennedy,,,2019,Retired-Teacher,"1st Jackson Bancshares,Inc.",,5781,5.15%,
,Dawn Sparks,,,2019,,"1st Jackson Bancshares,Inc.",,6780,6.04%,
Chairman/President/Director,Jimmy D. Blevins,President Director Chairman,,2020,,"1st Jackson Bancshares,Inc.",,16896,15.05%,
Director,Shelby Carr,,Carr Farm,2020,Farmer,"1st Jackson Bancshares,Inc.",,7576,6.75%,
Director/Vice Chairman,Jim Myers,,JimStan,2020,Groceryman,"1st Jackson Bancshares,Inc.",,11891,10.59%,
Director/Vice Chairman,Jim Myers,,Food Star,2020,Groceryman,"1st Jackson Bancshares,Inc.",,11891,10.59%,
Director/Secretary,Pam M. Parker,,"Dawson,McGinty & Parker",2020,Attorney,"1st Jackson Bancshares,Inc.",,6887,6.14%,
,Jami McGinty Kennedy,,,2020,Retired-Teacher,"1st Jackson Bancshares,Inc.",,5781,5.15%,
,Dawn Sparks,,,2020,,"1st Jackson Bancshares,Inc.",,6780,6.04%,
Chairman/Pres Director,Jimmy D. Blevins,President Director Chairman,,2021,,"1st Jackson Bancshares,Inc.",,16996,15.14%,
Director,Shelby Carr,Director,Carr Farm,2021,Farmer,"1st Jackson Bancshares,Inc.",,7576,6.75%,
Director/ Vice Chairman,Jim Myers,Director/ Vice Chairman,JimStan,2021,Groceryman,"1st Jackson Bancshares,Inc.",,11891,10.59%,
Director/ Secretary,Pam M. Parker,Director/ Secretary,"Dawson,McGinty & Parker firm",2021,Attorney,"1st Jackson Bancshares,Inc.",,6887,6.14%,
,Jami McGinty Kennedy,,,2021,Retired-Teacher,"1st Jackson Bancshares,Inc.",,5781,5.15%,
,Dawn Sparks,,,2021,,"1st Jackson Bancshares,Inc.",,6780,6.04%,
Chairman/Pres Director,Jimmy D. Blevins,President/CEO Director,,2022,,"1st Jackson Bancshare,Inc.",,16998,15.14%,
Director/Vice Chairman,Jim Myers,Director/Vice Chairman,JimStan,2022,Groceryman,"1st Jackson Bancshare,Inc.",,11891,10.59%,
,Jim Myers,,Food Star,2022,Groceryman,"1st Jackson Bancshare,Inc.",,11891,10.59%,
Director/ Secretary,Pam M. Parker,Director/ Secretary,"Dawson,McGinty & Parker firm",2022,Attorney,"1st Jackson Bancshare,Inc.",,6887,6.14%,
