Bank,Internal Title,Person,External Title,Affiliation,Fiscal Year,Occupation,RSSD_ID
"UNITED COMMUNITY BANKS,INC.","Director,United Community Bank (Charter)",W C Nelson. Jr.,,BORD Gulch Ranch LLC,2015,"Owner/Nelson Tractor Company,Inc.",
"UNITED COMMUNITY BANKS,INC.","Director,United Community Bank (Charter)",W C Nelson. Jr.,,"Ashland Cove,Inc",",2015","Owner/Nelson Tractor Company,Inc.",
"UNITED COMMUNITY BANKS,INC.","Director,United Community Bank (Charter)",W C Nelson. Jr.,,"Blairsville Motel Properties,Inc.",2015,"Owner/Nelson Tractor Company,Inc.",
"UNITED COMMUNITY BANKS,INC.","Director,United Community Bank (Charter)",W C Nelson. Jr.,,"Berkley Corners,LLC",2015,"Owner/Nelson Tractor Company,Inc.",
"UNITED COMMUNITY BANKS,INC.","Director,United Community Bank (Charter)",W C Nelson. Jr.,,"Berkley Properties,Inc.",2015,"Owner/Nelson Tractor Company,Inc.",
"UNITED COMMUNITY BANKS,INC.","Director,United Community Bank (Charter)",W C Nelson. Jr.,,Fannin Broadcasting,2015,"Owner/Nelson Tractor Company,Inc.",
"UNITED COMMUNITY BANKS,INC.","Director,United Community Bank (Charter)",W C Nelson. Jr.,,North Georgia Radio,2015,"Owner/Nelson Tractor Company,Inc.",
"UNITED COMMUNITY BANKS,INC.",Chairman of the Board & CEO,Jimmy C Tallent,,"Berkley Corners,LLC",2015,,
"UNITED COMMUNITY BANKS,INC.",Chairman of the Board & CEO,Jimmy C Tallent,,"Berkley Properties,Inc.",2015,,
"UNITED COMMUNITY BANKS,INC.",Chairman of the Board & CEO,Jimmy C Tallent,,Fannin Broadcasting,2015,,
"UNITED COMMUNITY BANKS,INC.",Chairman of the Board & CEO,Jimmy C Tallent,,"Upper Hiawassee Land Company,Inc.",2015,,
"UNITED COMMUNITY BANKS,INC.",Director,Robert H Blalock,Owner,"Blalock Insurance Agency,Inc.",2015,"Owner/Blalock Insurance Agency,Inc.",
"UNITED COMMUNITY BANKS,INC.",Director,Nicholas B. Paumgarten,Founder,"Corsair Capital,LLC",2015,,
"UNITED COMMUNITY BANKS,INC.",Director,Cathy Cox,President,Young Harris College,2015,"President,Young Harris College",
"UNITED COMMUNITY BANKS,INC.",Director,Cathy Cox,Candidate,Cox for Governor,2015,"President,Young Harris College",
"UNITED COMMUNITY BANKS,INC.",Retired,Kenneth L. Daniels,,,2015,Retired,
"UNITED COMMUNITY BANKS,INC.",Director,Steven J. Goldstein,Director,,2015,Retired,
"UNITED COMMUNITY BANKS,INC.",President & COO,H. Lynn Harton,,"Winston Magnolia Properties,LLC",2015,,
"UNITED COMMUNITY BANKS,INC.",Director,Thomas A. Richlovsky,,,2015,Retired,
"UNITED COMMUNITY BANKS,INC.",President,Tim Wallis,,Wallis Printing,2015,President/Wallis Printing,
"UNITED COMMUNITY BANKS,INC.",Director,Bill M Gilbert,,,2015,President of Community Banking,
"UNITED COMMUNITY BANKS,INC.","President,Specialized Lending",Richard W. Bradshaw,,,2015,"President,Specialized Lending",
