Bank,Internal Title,Person,Fiscal Year,RSSD_ID,Stock Class,Number of Shares,Percentage of Ownership
"1st Jackson Bancshares,Inc.",Chairman/Pres,jimmy d. blevins,2016,2306993,,16285,0.1451
"1st Jackson Bancshares,Inc.",Director,shelby carr,2016,2306993,,7548,0.0673
"1st Jackson Bancshares,Inc.",Director Emeritus,james s. mcginty,2016,2306993,,9637,0.0859
"1st Jackson Bancshares,Inc.",Director/ Vice Chairman,jim myers,2016,2306993,,11891,0.1059
"1st Jackson Bancshares,Inc.",Chairman/Pres Director,jimmy d. blevins,2017,,,16531,0.14730000000000001
"1st Jackson Bancshares,Inc.",Director,shelby carr,2017,,,7576,0.0675
"1st Jackson Bancshares,Inc.",,james s. mcginty,2017,,,9637,0.0859
"1st Jackson Bancshares,Inc.",Director/ Vice Chairman,jim myers,2017,,,11891,0.1059
"1st Jackson Bancshares,Inc.",Director,shelby carr,2019,,,7576,0.0675
"1st Jackson Bancshares,Inc.",Director/ Vice Chairman,jim myers,2019,,,11891,0.1059
"1st Jackson Bancshares,Inc.",Director/ Secretary,pam m. parker,2019,,,6887,0.061399999999999996
"1st Jackson Bancshares,Inc.",,jami mcginty kennedy,2019,,,5781,0.051500000000000004
"1st Jackson Bancshares,Inc.",,dawn sparks,2019,,,6780,0.0604
"1st Jackson Bancshares,Inc.",Chairman/President/Director,jimmy d. blevins,2020,,,16896,0.1505
"1st Jackson Bancshares,Inc.",Director,shelby carr,2020,,,7576,0.0675
"1st Jackson Bancshares,Inc.",Director/Vice Chairman,jim myers,2020,,,11891,0.1059
"1st Jackson Bancshares,Inc.",Director/Secretary,pam m. parker,2020,,,6887,0.061399999999999996
"1st Jackson Bancshares,Inc.",,jami mcginty kennedy,2020,,,5781,0.051500000000000004
"1st Jackson Bancshares,Inc.",,dawn sparks,2020,,,6780,0.0604
"1st Jackson Bancshares,Inc.",Chairman/Pres Director,jimmy d. blevins,2021,,,16996,0.1514
"1st Jackson Bancshares,Inc.",Director,shelby carr,2021,,,7576,0.0675
"1st Jackson Bancshares,Inc.",Director/ Vice Chairman,jim myers,2021,,,11891,0.1059
"1st Jackson Bancshares,Inc.",Director/ Secretary,pam m. parker,2021,,,6887,0.061399999999999996
"1st Jackson Bancshares,Inc.",,jami mcginty kennedy,2021,,,5781,0.051500000000000004
"1st Jackson Bancshares,Inc.",,dawn sparks,2021,,,6780,0.0604
"1st Jackson Bancshare,Inc.",Chairman/Pres Director,jimmy d. blevins,2022,,,16998,0.1514
"1st Jackson Bancshare,Inc.",Director/Vice Chairman,jim myers,2022,,,11891,0.1059
"1st Jackson Bancshare,Inc.",,jim myers,2022,,,11891,0.1059
"1st Jackson Bancshare,Inc.",Director/ Secretary,pam m. parker,2022,,,6887,0.061399999999999996
"1st Jackson Bancshare,Inc.",,pam m. parker,2022,,,6887,0.061399999999999996
"1st Jackson Bancshare,Inc.",,jami mcginty kennedy,2022,,,5781,0.051500000000000004
"1st Jackson Bancshare,Inc.",,dawn sparks,2022,,,6780,0.0604
"1st Jackson Bancshares,Inc.",Chairman/Pres Director Chairman,jimmy d. blevins,2023,,,17919,0.15960000000000002
"1st Jackson Bancshares,Inc.",Director/ Vice Chairman,jim myers,2023,,,12663,0.1128
"1st Jackson Bancshares,Inc.",Director/ Secretary,pam m. parker,2023,,,6887,0.061399999999999996
"1st Jackson Bancshares,Inc.",,jami mcginty kennedy,2023,,,5781,0.051500000000000004
"1st Jackson Bancshares,Inc.",,dawn sparks,2023,,,6280,0.0559
"1st Jackson Bancshares,Inc.",Chairman/Pres Director,jimmy d. blevins,2014,2306993,,15461,0.1378
"1st Jackson Bancshares,Inc.",Director,shelby carr,2014,2306993,,7398,0.0659
"1st Jackson Bancshares,Inc.",Director Emeritus,james s. mcginty,2014,2306993,,13897,0.12380000000000001
"1st Jackson Bancshares,Inc.",Director/Vice Chairman,jim myers,2014,2306993,,11891,0.1059
Affinity Bank,Director,kenneth r. lehman,2019,"LLC,n/a",Common,2571250,0.4694
Affinity Bank,Director,kenneth r. lehman,2019,"LLC,n/a",Common Stock,603707,0.442
"ABH Bancorp,Inc.",Director,shaul zislin,2014,3814703,,120097,0.06491
"Affinity Bancshares,Inc.",Shareholder,kenneth r. lehman,2021,321273,common shares,759633,0.1105
"Affinity Bancshares,Inc.",Shareholder,kenneth r. lehman,2021,321273,Common Stock,3069241,0.4228
"Affinity Bancshares,Inc.",Shareholder,kenneth r. lehman,2021,321273,Common Stock,728285,0.4029
"Affinity Bancshares,Inc.",,kenneth r. lehman,2022,,common shares,759633,0.115
"Affinity Bancshares,Inc.",,kenneth r. lehman,2022,,Common,335000,0.105
"Affinity Bancshares,Inc.",,kenneth r. lehman,2022,,Common Stock,729161,0.40130000000000005
"Affinity Bancshares,Inc.",,kenneth r. lehman,2022,,Common Stock,1125437,0.0666
"Affinity Bancshares,Inc.",,kenneth r. lehman,2023,,common,817332,0.1274
"Affinity Bancshares,Inc.",,kenneth r. lehman,2023,,Common,365000,0.1137
"Affinity Bancshares,Inc.",,kenneth r. lehman,2023,,Common Stock,730014,0.3992
"Affinity Bancshares,Inc.",,kenneth r. lehman,2023,,Common Stock,1285826,0.076
"Affinity Bancshares,Inc.",,kenneth r. lehman,2023,,,1842644,0.0592
"Alamerica BancCorp,Inc.",Director,donald v. watkins,2016,3047583,common,473089,0.4731
"Alamerica BancCorp,Inc.",Director & President/CEO,lawrence r. tate,2016,3047583,common,179078,0.1791
"Alamerica BancCorp,Inc.",Shareholder,clarissa b. harms,2016,3047583,common,115735,0.1157
"Alamerica BancCorp,Inc.",Director,kenneth l. thomas,2016,3047583,common,120596,0.1206
"Alamerica BancCorp,Inc.",Director,donald v. watkins,2017,,common,473089,0.4731
"Alamerica BancCorp,Inc.",Director & President/CEO,lawrence r. tate,2017,,common,179078,0.1791
