Internal Title,Person,Fiscal Year,Bank_y,Stock Class,Number of Shares,Percentage of Ownership,RSSD_ID_y
Chairman/Pres,Jimmy D. Blevins,2016,"1st Jackson Bancshares,Inc.",,16285,14.51%,2306993
Director,Shelby Carr,2016,"1st Jackson Bancshares,Inc.",,7548,6.73%,2306993
Director Emeritus,James S. McGinty,2016,"1st Jackson Bancshares,Inc.",,9637,8.59%,2306993
Director/ Vice Chairman,Jim Myers,2016,"1st Jackson Bancshares,Inc.",,11891,10.59%,2306993
Director/ Vice Chairman,Jim Myers,2016,"1st Jackson Bancshares,Inc.",,11891,10.59%,2306993
Chairman/Pres Director,Jimmy D. Blevins,2017,"1st Jackson Bancshares,Inc.",,16531,14.73%,
Director,Shelby Carr,2017,"1st Jackson Bancshares,Inc.",,7576,6.75%,
,James S. McGinty,2017,"1st Jackson Bancshares,Inc.",,9637,8.59%,
Director/ Vice Chairman,Jim Myers,2017,"1st Jackson Bancshares,Inc.",,11891,10.59%,
Director/ Vice Chairman,Jim Myers,2017,"1st Jackson Bancshares,Inc.",,11891,10.59%,
Director,Shelby Carr,2019,"1st Jackson Bancshares,Inc.",,7576,6.75%,
Director/ Vice Chairman,Jim Myers,2019,"1st Jackson Bancshares,Inc.",,11891,10.59%,
Director/ Vice Chairman,Jim Myers,2019,"1st Jackson Bancshares,Inc.",,11891,10.59%,
Director/ Secretary,Pam M. Parker,2019,"1st Jackson Bancshares,Inc.",,6887,6.14%,
,Jami McGinty Kennedy,2019,"1st Jackson Bancshares,Inc.",,5781,5.15%,
,Dawn Sparks,2019,"1st Jackson Bancshares,Inc.",,6780,6.04%,
Chairman/President/Director,Jimmy D. Blevins,2020,"1st Jackson Bancshares,Inc.",,16896,15.05%,
Director,Shelby Carr,2020,"1st Jackson Bancshares,Inc.",,7576,6.75%,
Director/Vice Chairman,Jim Myers,2020,"1st Jackson Bancshares,Inc.",,11891,10.59%,
Director/Vice Chairman,Jim Myers,2020,"1st Jackson Bancshares,Inc.",,11891,10.59%,
Director/Secretary,Pam M. Parker,2020,"1st Jackson Bancshares,Inc.",,6887,6.14%,
,Jami McGinty Kennedy,2020,"1st Jackson Bancshares,Inc.",,5781,5.15%,
,Dawn Sparks,2020,"1st Jackson Bancshares,Inc.",,6780,6.04%,
Chairman/Pres Director,Jimmy D. Blevins,2021,"1st Jackson Bancshares,Inc.",,16996,15.14%,
Director,Shelby Carr,2021,"1st Jackson Bancshares,Inc.",,7576,6.75%,
Director/ Vice Chairman,Jim Myers,2021,"1st Jackson Bancshares,Inc.",,11891,10.59%,
Director/ Secretary,Pam M. Parker,2021,"1st Jackson Bancshares,Inc.",,6887,6.14%,
,Jami McGinty Kennedy,2021,"1st Jackson Bancshares,Inc.",,5781,5.15%,
,Dawn Sparks,2021,"1st Jackson Bancshares,Inc.",,6780,6.04%,
Chairman/Pres Director,Jimmy D. Blevins,2022,"1st Jackson Bancshare,Inc.",,16998,15.14%,
Director/Vice Chairman,Jim Myers,2022,"1st Jackson Bancshare,Inc.",,11891,10.59%,
,Jim Myers,2022,"1st Jackson Bancshare,Inc.",,11891,10.59%,
Director/ Secretary,Pam M. Parker,2022,"1st Jackson Bancshare,Inc.",,6887,6.14%,
,Pam M. Parker,2022,"1st Jackson Bancshare,Inc.",,6887,6.14%,
,Jami McGinty Kennedy,2022,"1st Jackson Bancshare,Inc.",,5781,5.15%,
,Dawn Sparks,2022,"1st Jackson Bancshare,Inc.",,6780,6.04%,
Chairman/Pres Director Chairman,Jimmy D. Blevins,2023,"1st Jackson Bancshares,Inc.",,17919,15.96%,
Director/ Vice Chairman,Jim Myers,2023,"1st Jackson Bancshares,Inc.",,12663,11.28%,
Director/ Vice Chairman,Jim Myers,2023,"1st Jackson Bancshares,Inc.",,12663,11.28%,
Director/ Secretary,Pam M. Parker,2023,"1st Jackson Bancshares,Inc.",,6887,6.14%,
,Jami McGinty Kennedy,2023,"1st Jackson Bancshares,Inc.",,5781,5.15%,
,Dawn Sparks,2023,"1st Jackson Bancshares,Inc.",,6280,5.59%,
Chairman/Pres Director,Jimmy D. Blevins,2014,"1st Jackson Bancshares,Inc.",,15461,13.78%,2306993
Director,Shelby Carr,2014,"1st Jackson Bancshares,Inc.",,7398,6.59%,2306993
Director Emeritus,James S. McGinty,2014,"1st Jackson Bancshares,Inc.",,13897,12.38%,2306993
Director/Vice Chairman,Jim Myers,2014,"1st Jackson Bancshares,Inc.",,11891,10.59%,2306993
Director/Vice Chairman,Jim Myers,2014,"1st Jackson Bancshares,Inc.",,11891,10.59%,2306993
Director,Kenneth R. Lehman,2019,"ABB Financial Group,Inc.",Common,2571250,46.94%,
Director,Kenneth R. Lehman,2019,"Marine Bancorp of Florida,Inc.",Common Stock,603707,44.2%,
Director,Kenneth R. Lehman,2019,"ABB Financial Group,Inc.",Common,2571250,46.94%,
Director,Kenneth R. Lehman,2019,"Marine Bancorp of Florida,Inc.",Common Stock,603707,44.2%,
Director,Kenneth R. Lehman,2019,"ABB Financial Group,Inc.",Common,2571250,46.94%,
Director,Kenneth R. Lehman,2019,"Marine Bancorp of Florida,Inc.",Common Stock,603707,44.2%,
Director,Kenneth R. Lehman,2019,"ABB Financial Group,Inc.",Common,2571250,46.94%,
Director,Kenneth R. Lehman,2019,"Marine Bancorp of Florida,Inc.",Common Stock,603707,44.2%,
Director,Kenneth R. Lehman,2019,"ABB Financial Group,Inc.",Common,2571250,46.94%,
Director,Kenneth R. Lehman,2019,"Marine Bancorp of Florida,Inc.",Common Stock,603707,44.2%,
Director,Kenneth R. Lehman,2019,"ABB Financial Group,Inc.",Common,2571250,46.94%,
Director,Kenneth R. Lehman,2019,"Marine Bancorp of Florida,Inc.",Common Stock,603707,44.2%,
Director,Kenneth R. Lehman,2019,"ABB Financial Group,Inc.",Common,2571250,46.94%,
Director,Kenneth R. Lehman,2019,"Marine Bancorp of Florida,Inc.",Common Stock,603707,44.2%,
Director,Kenneth R. Lehman,2019,"ABB Financial Group,Inc.",Common,2571250,46.94%,
Director,Kenneth R. Lehman,2019,"Marine Bancorp of Florida,Inc.",Common Stock,603707,44.2%,
Director,Shaul Zislin,2014,"ABH Bancorp,Inc.",,120097,6.491%,3814703
Shareholder,Kenneth R. Lehman,2021,"Affinity Bancshares,Inc.",common shares,759633,11.05%,
Shareholder,Kenneth R. Lehman,2021,"Heritage Southeast Bancorporation,Inc.",Common Stock,3069241,42.28%,
Shareholder,Kenneth R. Lehman,2021,"Marine Bancorp of Florida,Inc.",Common Stock,728285,40.29%,
,Kenneth R. Lehman,2022,"Affinity Bancshares,Inc.",common shares,759633,11.50%,
,Kenneth R. Lehman,2022,"Marine Bancorp of Florida,Inc",Common Stock,729161,40.13%,
,Kenneth R. Lehman,2022,"SmartFinancial,Inc.",Common Stock,1125437,6.66%,
,Kenneth R. Lehman,2023,"Affinity Bancshares,Inc.",common,817332,12.74%,
,Kenneth R. Lehman,2023,"Marine Bancorp of Florida,Inc",Common Stock,730014,39.92%,
,Kenneth R. Lehman,2023,"SmartFinancial,Inc.",Common Stock,1285826,7.6%,
,Kenneth R. Lehman,2023,"THE FIRST BANCSHARES,INC.",,1842644,5.92%,
Director,Donald V. Watkins,2016,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,2016,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,2016,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,2016,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,2016,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,2016,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
