Bank,Internal Title,Person,External Title,Affiliation,Fiscal Year,Occupation,RSSD_ID
Plaquemine Bank & Trust Company,Director,Leo D Sternfels,,Plaquemine Bank and Trust Company,2015,President Sternfel's Realty,1086355
Plaquemine Bank & Trust Company,Director,Frances D. Durand,Managing Partner,Durand Property LLC,2016,Owner of Durand Property LLC,1086355
Plaquemine Bank & Trust Company,Director & Secretary,G.W. Banta,President,"J.W. Banta Towing,Inc.",2016,"Owner of J.W. Banta Towing,Inc.",1086355
Plaquemine Bank & Trust Company,Director & Secretary,G.W. Banta,,Plaquemine Towing,2016,"Owner of J.W. Banta Towing,Inc.",1086355
Plaquemine Bank & Trust Company,Director,J. D. Weldon,,,2016,Retired,1086355
Plaquemine Bank & Trust Company,Director & Vice Chairman,"John N. Gum,Jr.",,,2016,Retired,1086355
Plaquemine Bank & Trust Company,Director,Kenneth C. Caruso,,"KC5,LLC",2016,Managing Partner,1086355
Plaquemine Bank & Trust Company,Director,"Harry J Philips,Jr.",Managing Partner,"Taylor Porter Brooks and Phillips,Attorneys-at-Law",2016,Managing Partner,1086355
Plaquemine Bank & Trust Company,Director,Leo D Sternfels,President,Sternfel's Realty,2016,President,1086355
Plaquemine Bank & Trust Company,Chairman/ President/CEO,Stephen Panepinto,,,2016,Director & Chairman/ President/CEO,1086355
Plaquemine Bank & Trust Company,"Sr. Vice President,CFO & Cashier",Tabatha D. Tempanaro,,,2016,"Sr. Vice President,CFO & Cashier",1086355
Plaquemine Bank & Trust Company,Vice President,Caroline B. Causin,,,2016,,1086355
Plaquemine Bank & Trust Company,Vice President,Elizabeth Rivet,,,2016,,1086355
Plaquemine Bank & Trust Company,Assistant Vice President,Rhett Vaughn,,,2016,,1086355
Plaquemine Bancshares Corporation,Director,Frances D. Durand,Managing Partner,Durand Property LLC,2018,Owner of Durand Property LLC,
Plaquemine Bancshares Corporation,Director & Secretary,G.W. Banta,President,J.W. Banta Towing,2018,"Owner of J.W. Banta Towing,Inc.",
Plaquemine Bancshares Corporation,Director,J.D. Weldon,,,2018,Retired,
Plaquemine Bancshares Corporation,Director & Vice Chairman,"John N. Guma,Jr.",,,2018,Retired,
Plaquemine Bancshares Corporation,Director,Kenneth C. Caruso,,,2018,"Managing Partner KC5,LLC",
Plaquemine Bancshares Corporation,Director,"Harry J Phillips,Jr.",,,2018,"Managing Partner Taylor Porter Brooks and Phillips,Attorneys-at-Law",
Plaquemine Bancshares Corporation,Director,Leo D Stemfels,,Arthur J. Gallagher & Co.,2018,President Stemfel's Realty Risk Manager,
Plaquemine Bancshares Corporation,Director & Chairman/PresidenVCEO,Stephen Panepinto,,,2018,,
Plaquemine Bancshares Corporation,"Sr. Vice President,CFO & Cashier",Tabatha D. Tempanaro,,,2018,,
Plaquemine Bancshares Corporation,Vice President,Caronne B. Causin,,,2018,,
Plaquemine Bancshares Corporation,Vice President,Elizabeth Rivel,,,2018,,
Plaquemine Bancshares Corporation,Assistant Vice President,Rhett Vaughn,,,2018,,
Plaquemine Bank & Trust Company,Director,Frances D. Durand,Managing Partner,Durand Property LLC,2021,Owner of Durand Property LLC 57%,
Plaquemine Bank & Trust Company,Director & Vice Chairman,"John N. Gum,Jr.",,,2021,Retired,
Plaquemine Bank & Trust Company,Director,Kenneth C. Caruso,,"KC5,LLC",2021,Managing Partner,
Plaquemine Bank & Trust Company,Director,"Harry J Philips,Jr.",Partner,"Taylor Porter Brooks and Phillips,Attorneys-at-Law",2021,Partner,
Plaquemine Bank & Trust Company,Director,Leo D Sternfels,President,Service Mortgage Co.,2021,Retired from Arthur J. Gallagher & Co.,
Plaquemine Bank & Trust Company,Director & Chairman/ President/CEO,Stephen Panepinto,,,2021,Director & Chairman/President/CEO,
Plaquemine Bank & Trust Company,"Sr. Vice President,CFO & Cashier",Tabatha D. Tempanaro,,,2021,"Sr. Vice President,CFO & Cashier",
Plaquemine Bank & Trust Company,Vice President,Caroline B. Causin,,,2021,,
