Bank,Internal Title,Person,External Title,Affiliation,Fiscal Year,Occupation,RSSD_ID
"1st Jackson Bancshares,Inc.",Chairman/Pres,Jimmy D. Blevins,President/CEO Director Chairman,,2016,,2306993
"1st Jackson Bancshares,Inc.",Director,Shelby Carr,Director,Carr Farm,2016,Farmer,2306993
"1st Jackson Bancshares,Inc.",Director,Billy Duck,Director,,2016,Retired-Insurance,2306993
"1st Jackson Bancshares,Inc.",Director Emeritus,James S. McGinty,,"Dawson,McGinty & Parker",2016,Attorney,2306993
"1st Jackson Bancshares,Inc.",Director/ Secretary,Pam M. Parker,Director/ Secretary,"Dawson,McGinty & Parker",2016,Attorney,2306993
"1st Jackson Bancshares,Inc.",,"J. D. Shrader,Jr.",Director Emeritus,,2016,,2306993
"1st Jackson Bancshares,Inc.",,Charles R. Holder,Principal Securities Holder,,2016,Independent contractor,2306993
"1st Jackson Bancshares,Inc.",,Jeremy Washburn,Vice President/ CEO,,2016,,2306993
"1st Jackson Bancshares,Inc.",Director/ Vice Chairman,Jim Myers,Director/ Vice Chairman,JimStan,2016,Groceryman,2306993
"1st Jackson Bancshares,Inc.",Director/ Vice Chairman,Jim Myers,Director/ Vice Chairman,Food Star,2016,Groceryman,2306993
"1st Jackson Bancshares,Inc.",Chairman/Pres Director,Jimmy D. Blevins,President Director Chairman,,2017,,
"1st Jackson Bancshares,Inc.",Director,Shelby Carr,Director,Carr Farm,2017,Farmer,
"1st Jackson Bancshares,Inc.",Director,Billy Duck,Director,,2017,Retired-Insurance,
"1st Jackson Bancshares,Inc.",,James S. McGinty,,"Dawson,McGinty & Parker",2017,Attorney,
"1st Jackson Bancshares,Inc.",Director/ Vice Chairman,Jim Myers,Director/ Vice Chairman,JimStan,2017,Groceryman,
"1st Jackson Bancshares,Inc.",Director/ Vice Chairman,Jim Myers,Director/ Vice Chairman,Food Star,2017,Groceryman,
"1st Jackson Bancshares,Inc.",Director/ Secretary,Pam M. Parker,Director/ Secretary,"Dawson,McGinty & Parker",2017,Attorney,
"1st Jackson Bancshares,Inc.",,"J. D. Shrader,Jr.",Director Emeritus,,2017,,
"1st Jackson Bancshares,Inc.",,Charles R. Holder,Principal Securities Holder,,2017,Independent contractor,
"1st Jackson Bancshares,Inc.",,Jeremy Washburn,Vice President/ CEO,,2017,,
"1st Jackson Bancshares,Inc.","Chairman,President/CEO","Director,Jimmy D. Blevins","President,Director","Chairman,n/a",2019,,
"1st Jackson Bancshares,Inc.",Director,Shelby Carr,Director,Carr Farm,2019,Farmer,
"1st Jackson Bancshares,Inc.",Director,Billy Duck,Director,,2019,Retired-Insurance,
"1st Jackson Bancshares,Inc.",Director/ Vice Chairman,Jim Myers,Director/ Vice Chairman,JimStan,2019,Groceryman,
"1st Jackson Bancshares,Inc.",Director/ Vice Chairman,Jim Myers,Director/ Vice Chairman,Food Star,2019,Groceryman,
"1st Jackson Bancshares,Inc.",Director/ Secretary,Pam M. Parker,Director/ Secretary,"Dawson,McGinty & Parker firm",2019,Attorney,
"1st Jackson Bancshares,Inc.",,"J. D. Shrader,Jr.",Director Emeritus,,2019,,
"1st Jackson Bancshares,Inc.",,Charles R. Holder,,,2019,Independent contractor,
"1st Jackson Bancshares,Inc.",,Jami McGinty Kennedy,,,2019,Retired-Teacher,
"1st Jackson Bancshares,Inc.",,Dawn Sparks,,,2019,,
"1st Jackson Bancshares,Inc.",,Jeremy Washburn,Vice President/ CEO,,2019,,
"1st Jackson Bancshares,Inc.",Chairman/President/Director,Jimmy D. Blevins,President Director Chairman,,2020,,
"1st Jackson Bancshares,Inc.",Director,Shelby Carr,,Carr Farm,2020,Farmer,
"1st Jackson Bancshares,Inc.",Director,Billy Duck,,,2020,Retired-Insurance,
"1st Jackson Bancshares,Inc.",Director/Vice Chairman,Jim Myers,,JimStan,2020,Groceryman,
"1st Jackson Bancshares,Inc.",Director/Vice Chairman,Jim Myers,,Food Star,2020,Groceryman,
"1st Jackson Bancshares,Inc.",Director/Secretary,Pam M. Parker,,"Dawson,McGinty & Parker",2020,Attorney,
"1st Jackson Bancshares,Inc.",Director Emeritus,"J. D. Shrader,Jr.",,,2020,,
"1st Jackson Bancshares,Inc.",,Charles R. Holder,,,2020,Independent contractor,
"1st Jackson Bancshares,Inc.",,Jami McGinty Kennedy,,,2020,Retired-Teacher,
"1st Jackson Bancshares,Inc.",,Dawn Sparks,,,2020,,
"1st Jackson Bancshares,Inc.",,J. Sherman Barnett,Interim CEO & Exec. Vice President,,2020,,
"1st Jackson Bancshares,Inc.",Chairman/Pres Director,Jimmy D. Blevins,President Director Chairman,,2021,,
"1st Jackson Bancshares,Inc.",Director,Shelby Carr,Director,Carr Farm,2021,Farmer,
"1st Jackson Bancshares,Inc.",Director,Billy Duck,Director,,2021,Retired-Insurance,
"1st Jackson Bancshares,Inc.",Director/ Vice Chairman,Jim Myers,Director/ Vice Chairman,JimStan,2021,Groceryman,
"1st Jackson Bancshares,Inc.",Director/ Secretary,Pam M. Parker,Director/ Secretary,"Dawson,McGinty & Parker firm",2021,Attorney,
"1st Jackson Bancshares,Inc.",,"J. D. Shrader,Jr.",Director Emeritus,,2021,,
"1st Jackson Bancshares,Inc.",,Charles R. Holder,,,2021,Independent contractor,
"1st Jackson Bancshares,Inc.",,Jami McGinty Kennedy,,,2021,Retired-Teacher,
"1st Jackson Bancshares,Inc.",,Dawn Sparks,,,2021,,
"1st Jackson Bancshares,Inc.",,William Todd Chapman,CEO & Exec. Vice President,,2021,,
"1st Jackson Bancshare,Inc.",Director,J Sherman Barnett,Director,,2022,,
"1st Jackson Bancshare,Inc.",Chairman/Pres Director,Jimmy D. Blevins,President/CEO Director,,2022,,
"1st Jackson Bancshare,Inc.",Director,Billy Duck,Director,,2022,Retired-Insurance,
"1st Jackson Bancshare,Inc.",Director/Vice Chairman,Jim Myers,Director/Vice Chairman,JimStan,2022,Groceryman,
"1st Jackson Bancshare,Inc.",,Jim Myers,,Food Star,2022,Groceryman,
"1st Jackson Bancshare,Inc.",Director/ Secretary,Pam M. Parker,Director/ Secretary,"Dawson,McGinty & Parker firm",2022,Attorney,
"1st Jackson Bancshare,Inc.",,Pam M. Parker,,"Dawson,McGinty & Parker-owned by retirement trust",2022,Attorney,
"1st Jackson Bancshare,Inc.",,"J. D. Shrader,Jr.",Director Emeritus,,2022,,
"1st Jackson Bancshare,Inc.",Principal Securities Holder,Charles R. Holder,,,2022,Independent contractor,
"1st Jackson Bancshare,Inc.",,Jami McGinty Kennedy,,,2022,Retired-Teacher,
