Bank,Internal Title,Person,External Title,Affiliation,Fiscal Year,Occupation,Percentage of Voting Shares,RSSD_ID,Percentage of Voting Shares in Subsidiaries,URL_Bank_Name,Table Presence
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,215 Holding Co._Y-6_2024-12-31T00_00_00_English,none
"ABDO INVESTMENT,INC.""""","Director,President""""",Jay M. Abdo,President,"Rivers Ridge Edina,MN""""",2023,Retired CPA,14.286%,n/a,n/a,"ABDO Investments, Inc._Y-6_2023-12-31T00_00_00_English",both
"ABDO INVESTMENT,INC.""""",Director,John N. Abdo,Director,"Abdo,LLP""""",2023,CPA,14.286%,n/a,n/a,"ABDO Investments, Inc._Y-6_2023-12-31T00_00_00_English",both
"ABDO INVESTMENT,INC.""""",Director,James A. Abdo,VP-Sales,Abdo Publishing Co.,2023,VP Sales,14.286%,n/a,n/a,"ABDO Investments, Inc._Y-6_2023-12-31T00_00_00_English",both
"ABDO INVESTMENT,INC.""""",Director,Paul J. Abdo,Chief Editor,Abdo Publishing Co.,2023,Chief Editor,14.286%,n/a,n/a,"ABDO Investments, Inc._Y-6_2023-12-31T00_00_00_English",both
"ABDO INVESTMENT,INC.""""",Director,Melody C. Borth,Retired,"North Mankato,MN""""",2023,VP Finance,14.286%,n/a,n/a,"ABDO Investments, Inc._Y-6_2023-12-31T00_00_00_English",both
"ABDO INVESTMENT,INC.""""",Director,Lynne M. Abdo,Retired,"North Mankato,MN""""",2023,Sales-East Coast,14.285%,n/a,n/a,"ABDO Investments, Inc._Y-6_2023-12-31T00_00_00_English",both
"ABDO INVESTMENT,INC.""""",Director,Jill M. Hanson,CEO,Abdo Publishing Co.,2023,CEO,14.285%,n/a,n/a,"ABDO Investments, Inc._Y-6_2023-12-31T00_00_00_English",both
AFNB Holdings INC,Chairman & CEO Director,"Wu,Wen Lung (Wu""","Henry)"",Chairman""",American First National Bank,2023,Business Entrepreneur,20.6792%,n/a,n/a,"AFNB Holdings, Inc._Y-6_2023-12-31T00_00_00_English",both
AFNB Holdings INC,Vice President,"Wu,James""""",n/a,Hugesen Polymers USA L.P.,2023,Hugesen Polymers,3.2990%,n/a,n/a,"AFNB Holdings, Inc._Y-6_2023-12-31T00_00_00_English",both
AFNB Holdings INC,Manager,"Wu,Janae""""",n/a,Hugesen Polymers USA L.P.,2023,Hugesen Polymers,3.3910%,n/a,n/a,"AFNB Holdings, Inc._Y-6_2023-12-31T00_00_00_English",both
AFNB Holdings INC,n/a,C & W Packaging LP (non-managing),n/a,n/a,2023,n/a,0.0464%,n/a,n/a,"AFNB Holdings, Inc._Y-6_2023-12-31T00_00_00_English",both
AFNB Holdings INC,n/a,"Hugesen Polymers USA,LP (Non-managing)""""",n/a,n/a,2023,n/a,0.6816%,n/a,n/a,"AFNB Holdings, Inc._Y-6_2023-12-31T00_00_00_English",both
AFNB Holdings INC,President Director,"Chang,Bruce""""",Owner,"Bruce Y. Chang,CP""""",2023,Banker,0.2721%,n/a,n/a,"AFNB Holdings, Inc._Y-6_2023-12-31T00_00_00_English",both
AFNB Holdings INC,Treasurer,"Fann,Mike""""","Cashier,Controller""""",American First National Bank,2023,Banker,0.4009%,n/a,n/a,"AFNB Holdings, Inc._Y-6_2023-12-31T00_00_00_English",both
AFNB Holdings INC,Secretary,"You,Joanne""""",HR Manager,American First National Bank,2023,Banker,0.0979%,n/a,n/a,"AFNB Holdings, Inc._Y-6_2023-12-31T00_00_00_English",both
AFNB Holdings INC,Director,"Chang,Ray S""""",n/a,n/a,2023,"Retired from President,C & W Trucking Svc""","Inc"",1.1780%""",n/a,n/a,"AFNB Holdings, Inc._Y-6_2023-12-31T00_00_00_English",both
AFNB Holdings INC,Director,"Chen,Wen-Chuan""""",n/a,n/a,2023,"Retired from President,Holiday Motel East Inc""""",1.7355%,n/a,n/a,"AFNB Holdings, Inc._Y-6_2023-12-31T00_00_00_English",both
